% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.25000000E-01               17   1.7319479184152442E-14   6.2172489379008766E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9270335204682041E+01   6.2172489379008766E-15
                 1   1.25000000E-01   1.25000000E-01               17   1.8193491158058350E-10  -1.3289636058289034E-10  -5.9696784063958746E-04  -5.9696784063958746E-04   3.9270351086501400E+01  -1.3289636058289034E-10
                 2   2.50000000E-01   1.25000000E-01               17   1.6940093772177534E-10  -2.2014390310687304E-11  -6.1667471609272405E-03  -6.1667471609272405E-03   3.9270688959775477E+01  -2.2014390310687304E-11
                 3   3.75000000E-01   1.25000000E-01               17  -1.6902035326893383E-11   4.7251091928046662E-12  -2.1432368703087203E-02  -2.1432368703087203E-02   3.9272283420452304E+01   4.7251091928046662E-12
                 4   5.00000000E-01   1.25000000E-01               17   4.3182790676610239E-11  -1.7739587576670601E-11  -4.7981778903140530E-02  -4.7981778903140530E-02   3.9276473878372016E+01  -1.7739587576670601E-11
                 5   6.25000000E-01   1.25000000E-01               17   2.2409407662848935E-11  -3.1536551148292347E-11  -8.3861203873222545E-02  -8.3861203873222545E-02   3.9284581721008372E+01  -3.1536551148292347E-11
                 6   7.50000000E-01   1.25000000E-01               17  -6.8817618270600178E-11   1.9718449095762480E-11  -1.2379706407291063E-01  -1.2379706407291063E-01   3.9297478907028726E+01   1.9718449095762480E-11
                 7   8.75000000E-01   1.25000000E-01               17   6.0760729780895417E-11  -3.7688074883135414E-11  -1.6009105081344743E-01  -1.6009105081344743E-01   3.9315221886257291E+01  -3.7688074883135414E-11
                 8   1.00000000E+00   1.25000000E-01               17  -3.3785418906973064E-11   1.4659384817150567E-11  -1.8440710472206551E-01  -1.8440710472206551E-01   3.9336849326957832E+01   1.4659384817150567E-11
                 9   1.12500000E+00   1.25000000E-01               17  -1.3294254586071474E-11   4.4524384179567278E-12  -1.9009529862219721E-01  -1.9009529862219721E-01   3.9360442670117934E+01   4.4524384179567278E-12
                10   1.25000000E+00   1.25000000E-01               17   7.3507422371221764E-11  -5.7736038172606641E-11  -1.7390675199588299E-01  -1.7390675199588299E-01   3.9383450464999839E+01  -5.7736038172606641E-11
                11   1.37500000E+00   1.25000000E-01               17  -9.5217167483951926E-11   9.5231045271759740E-12  -1.3619992929671271E-01  -1.3619992929671271E-01   3.9403136186045529E+01   9.5231045271759740E-12
                12   1.50000000E+00   1.25000000E-01               17  -4.2089887131169235E-11   1.0821032958574506E-10  -8.0427361936758257E-02  -8.0427361936758257E-02   3.9416990980348302E+01   1.0821032958574506E-10
                13   1.62500000E+00   1.25000000E-01               17  -2.8593039047564162E-10   3.3563640755573942E-10  -1.4253497332146647E-02  -1.4253497332146647E-02   3.9423160665098422E+01   3.3563640755573942E-10
                14   1.75000000E+00   1.25000000E-01               17  -3.6486014209913264E-10  -1.1688072731885768E-10   4.5982041787496875E-02   4.5982041787496875E-02   3.9421213192124497E+01  -1.1688072731885768E-10
                15   1.87500000E+00   1.25000000E-01               17  -8.9341867237635597E-11  -2.4916690932741403E-10   6.8327651570225661E-02   6.8327651570225661E-02   3.9413641741394358E+01  -2.4916690932741403E-10
                16   2.00000000E+00  -1.00000000E+00               -1  -7.5889960982067350E-11  -8.0037310112857085E-11   0.0000000000000000E+00   0.0000000000000000E+00   3.9408167914326924E+01  -8.0037310112857085E-11
