% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               17   1.7763568394002505E-15  -8.8817841970012523E-16   0.0000000000000000E+00   0.0000000000000000E+00   3.9270335204681956E+01  -8.8817841970012523E-16
                 1   3.12500000E-02   3.12500000E-02               17  -2.1867840871436783E-11  -2.3310242625029787E-11  -3.8529003796992367E-05  -3.8529003796992367E-05   3.9270335204682311E+01  -2.3310242625029787E-11
                 2   6.25000000E-02   3.12500000E-02               17  -8.9554141879943927E-11  -2.2364599061575063E-10  -3.9946391043476682E-04  -3.9946391043476682E-04   3.9270335204681061E+01  -2.2364599061575063E-10
                 3   9.37500000E-02   3.12500000E-02               17   1.1842837821518515E-10   6.2396310340773198E-11  -1.5285366320675344E-03  -1.5285366320675344E-03   3.9270335204675412E+01   6.2396310340773198E-11
                 4   1.25000000E-01   3.12500000E-02               17   1.7675549912610222E-10   2.0810375644941814E-10  -3.8910029780798200E-03  -3.8910029780798200E-03   3.9270335204664654E+01   2.0810375644941814E-10
                 5   1.56250000E-01   3.12500000E-02               17   1.8550938563066666E-10   1.8960122361022513E-10  -7.9226142555025754E-03  -7.9226142555025754E-03   3.9270335204654785E+01   1.8960122361022513E-10
                 6   1.87500000E-01   3.12500000E-02               17   2.4036150847450699E-10   2.7886759568218622E-10  -1.4005265813441066E-02  -1.4005265813441066E-02   3.9270335204662615E+01   2.7886759568218622E-10
                 7   2.18750000E-01   3.12500000E-02               17  -6.1176841370524926E-11   7.6600947807037301E-11  -2.2453542269962150E-02  -2.2453542269962150E-02   3.9270335204717739E+01   7.6600947807037301E-11
                 8   2.50000000E-01   3.12500000E-02               17  -1.2720091646656329E-10  -5.6815885329797311E-11  -3.3507447268744245E-02  -3.3507447268744245E-02   3.9270335204864530E+01  -5.6815885329797311E-11
                 9   2.81250000E-01   3.12500000E-02               17  -1.6280177206340340E-10  -7.7013062593778159E-11  -4.7329333482598504E-02  -4.7329333482598504E-02   3.9270335205162361E+01  -7.7013062593778159E-11
                10   3.12500000E-01   3.12500000E-02               17  -1.7198953372599135E-10  -9.3955954127977748E-11  -6.4003516749875963E-02  -6.4003516749875963E-02   3.9270335205685974E+01  -9.3955954127977748E-11
                11   3.43750000E-01   3.12500000E-02               17  -1.7829560050586224E-10  -1.1114753561969337E-10  -8.3537965567859543E-02  -8.3537965567859543E-02   3.9270335206524990E+01  -1.1114753561969337E-10
                12   3.75000000E-01   3.12500000E-02               17  -5.0356163683318300E-11  -2.4037749568606159E-10  -1.0586735148884423E-01  -1.0586735148884423E-01   3.9270335207783027E+01  -2.4037749568606159E-10
                13   4.06250000E-01   3.12500000E-02               17   1.1687584233754933E-10  -1.5501377959026286E-11  -1.3085748735390218E-01  -1.3085748735390218E-01   3.9270335209576906E+01  -1.5501377959026286E-11
                14   4.37500000E-01   3.12500000E-02               17   1.1849987657797101E-10  -2.5431212691273686E-11  -1.5830982915776357E-01  -1.5830982915776357E-01   3.9270335212035079E+01  -2.5431212691273686E-11
                15   4.68750000E-01   3.12500000E-02               17   6.8449690360239401E-11   2.1831425556229078E-12  -1.8796705972780620E-01  -1.8796705972780620E-01   3.9270335215296470E+01   2.1831425556229078E-12
                16   5.00000000E-01   3.12500000E-02               17   1.6306067607274599E-11   2.0993873306451860E-11  -2.1951869452933559E-01  -2.1951869452933559E-01   3.9270335219508233E+01   2.0993873306451860E-11
                17   5.31250000E-01   3.12500000E-02               17  -2.4150015320856255E-11   5.1252335708795727E-11  -2.5260689628616884E-01  -2.5260689628616884E-01   3.9270335224825480E+01   5.1252335708795727E-11
                18   5.62500000E-01   3.12500000E-02               17  -5.8010485304293979E-11   4.7841730577147246E-11  -2.8683236338018686E-01  -2.8683236338018686E-01   3.9270335231407849E+01   4.7841730577147246E-11
                19   5.93750000E-01   3.12500000E-02               17  -7.4648953685141350E-11   2.5680790827209421E-11  -3.2176023375201523E-01  -3.2176023375201523E-01   3.9270335239419595E+01   2.5680790827209421E-11
                20   6.25000000E-01   3.12500000E-02               17  -6.0594751438713956E-11   5.5830895462349872E-12  -3.5692596357454226E-01  -3.5692596357454226E-01   3.9270335249026964E+01   5.5830895462349872E-12
                21   6.56250000E-01   3.12500000E-02               17  -2.8629543180613837E-11  -1.3050893699073640E-11  -3.9184115666811670E-01  -3.9184115666811670E-01   3.9270335260397061E+01  -1.3050893699073640E-11
                22   6.87500000E-01   3.12500000E-02               17   5.8461846474955337E-12  -2.9016788971603091E-11  -4.2599933998176132E-01  -4.2599933998176132E-01   3.9270335273696872E+01  -2.9016788971603091E-11
                23   7.18750000E-01   3.12500000E-02               17   3.4101499402083846E-11  -3.3019809109191556E-11  -4.5888169602647544E-01  -4.5888169602647544E-01   3.9270335289090902E+01  -3.3019809109191556E-11
                24   7.50000000E-01   3.12500000E-02               17   4.9272808055889072E-11  -2.4121149522216001E-11  -4.8996276878873113E-01  -4.8996276878873113E-01   3.9270335306741103E+01  -2.4121149522216001E-11
                25   7.81250000E-01   3.12500000E-02               17   4.6659787145131304E-11  -9.4306784603759297E-12  -5.1871615970013307E-01  -5.1871615970013307E-01   3.9270335326804577E+01  -9.4306784603759297E-12
                26   8.12500000E-01   3.12500000E-02               17   2.9643176802096605E-11   5.7864824043463159E-12  -5.4462023306315488E-01  -5.4462023306315488E-01   3.9270335349433260E+01   5.7864824043463159E-12
                27   8.43750000E-01   3.12500000E-02               17   5.3899107399502100E-12   1.7614354419492884E-11  -5.6716385642999034E-01  -5.6716385642999034E-01   3.9270335374771214E+01   1.7614354419492884E-11
                28   8.75000000E-01   3.12500000E-02               17  -1.7003731755949048E-11   2.2642332453415293E-11  -5.8585220422099671E-01  -5.8585220422099671E-01   3.9270335402953641E+01   2.2642332453415293E-11
                29   9.06250000E-01   3.12500000E-02               17  -3.2136071581589931E-11   1.9306334309021622E-11  -6.0021264893220094E-01  -6.0021264893220094E-01   3.9270335434104574E+01   1.9306334309021622E-11
                30   9.37500000E-01   3.12500000E-02               17  -3.4655389669069336E-11   9.5914387543416524E-12  -6.0980075788537280E-01  -6.0980075788537280E-01   3.9270335468334842E+01   9.5914387543416524E-12
                31   9.68750000E-01   3.12500000E-02               17  -2.6312285683616210E-11  -1.2692069617514790E-12  -6.1420640986379538E-01  -6.1420640986379538E-01   3.9270335505738302E+01  -1.2692069617514790E-12
                32   1.00000000E+00   3.12500000E-02               17  -1.0624390256452898E-11  -1.0668799177437904E-11  -6.1306004434470496E-01  -6.1306004434470496E-01   3.9270335546389205E+01  -1.0668799177437904E-11
                33   1.03125000E+00   3.12500000E-02               17   6.1888272284704726E-12  -1.5146106591146236E-11  -6.0603905180748352E-01  -6.0603905180748352E-01   3.9270335590337659E+01  -1.5146106591146236E-11
                34   1.06250000E+00   3.12500000E-02               17   1.9102941450910293E-11  -1.4337864229219122E-11  -5.9287430547350461E-01  -5.9287430547350461E-01   3.9270335637605612E+01  -1.4337864229219122E-11
                35   1.09375000E+00   3.12500000E-02               17   2.4106938667500799E-11  -8.6073370653139136E-12  -5.7335682609144745E-01  -5.7335682609144745E-01   3.9270335688181810E+01  -8.6073370653139136E-12
                36   1.12500000E+00   3.12500000E-02               17   2.1286084006533201E-11  -1.4575007867279055E-12  -5.4734456400493037E-01  -5.4734456400493037E-01   3.9270335742017387E+01  -1.4575007867279055E-12
                37   1.15625000E+00   3.12500000E-02               17   1.1366907415322203E-11   6.2341243278751790E-12  -5.1476927749765178E-01  -5.1476927749765178E-01   3.9270335799020344E+01   6.2341243278751790E-12
                38   1.18750000E+00   3.12500000E-02               17  -2.4868995751603507E-14   1.0119016735643527E-11  -4.7564347937538876E-01  -4.7564347937538876E-01   3.9270335859051066E+01   1.0119016735643527E-11
                39   1.21875000E+00   3.12500000E-02               17  -1.0424550112020370E-11   1.0523137916607084E-11  -4.3006741382109642E-01  -4.3006741382109642E-01   3.9270335921918374E+01   1.0523137916607084E-11
                40   1.25000000E+00   3.12500000E-02               17  -1.6796342094949068E-11   6.8545169540357165E-12  -3.7823601783203553E-01  -3.7823601783203553E-01   3.9270335987375624E+01   6.8545169540357165E-12
                41   1.28125000E+00   3.12500000E-02               17  -1.5593748514675099E-11   1.5425438704141925E-12  -3.2044581550672402E-01  -3.2044581550672402E-01   3.9270336055118918E+01   1.5425438704141925E-12
                42   1.31250000E+00   3.12500000E-02               17  -1.0935252703347942E-11  -2.7731150709087160E-12  -2.5710168647007325E-01  -2.5710168647007325E-01   3.9270336124785373E+01  -2.7731150709087160E-12
                43   1.34375000E+00   3.12500000E-02               17  -2.2142288003124122E-12  -6.1695093478419949E-12  -1.8872344641727715E-01  -1.8872344641727715E-01   3.9270336195954002E+01  -6.1695093478419949E-12
                44   1.37500000E+00   3.12500000E-02               17   5.7305271639052080E-12  -7.6473827270717720E-12  -1.1595217505982328E-01  -1.1595217505982328E-01   3.9270336268147645E+01  -7.6473827270717720E-12
                45   1.40625000E+00   3.12500000E-02               17   1.0554224161296588E-11  -5.3677062794577068E-12  -3.9556225462458239E-02  -3.9556225462458239E-02   3.9270336340836835E+01  -5.3677062794577068E-12
                46   1.43750000E+00   3.12500000E-02               17   1.1841194691442070E-11  -1.8316459460265833E-12   3.9563148023602890E-02   3.9563148023602890E-02   3.9270336413446287E+01  -1.8316459460265833E-12
                47   1.46875000E+00   3.12500000E-02               17   9.0594198809412774E-12   1.5578649481540197E-12   1.2036659900400681E-01   1.2036659900400681E-01   3.9270336485362556E+01   1.5578649481540197E-12
                48   1.50000000E+00   3.12500000E-02               17   4.0598635564492724E-12   4.1961989438732417E-12   2.0167197704951573E-01   2.0167197704951573E-01   3.9270336555943949E+01   4.1961989438732417E-12
                49   1.53125000E+00   3.12500000E-02               17  -2.1183055309847987E-12   5.2824411511664948E-12   2.8215012136314138E-01   2.8215012136314138E-01   3.9270336624533080E+01   5.2824411511664948E-12
                50   1.56250000E+00   3.12500000E-02               17  -6.7545968818194524E-12   4.1073811019032291E-12   3.6032116773218731E-01   3.6032116773218731E-01   3.9270336690470103E+01   4.1073811019032291E-12
                51   1.59375000E+00   3.12500000E-02               17  -8.3408835394038761E-12   2.0863311078755942E-12   4.3455134510649346E-01   4.3455134510649346E-01   3.9270336753108722E+01   2.0863311078755942E-12
                52   1.62500000E+00   3.12500000E-02               17  -7.5601747084874660E-12  -8.3399953609841759E-13   5.0305020385019483E-01   5.0305020385019483E-01   3.9270336811832600E+01  -8.3399953609841759E-13
                53   1.65625000E+00   3.12500000E-02               17  -4.1033842990145786E-12  -3.0260238759183267E-12   5.6386817554217328E-01   5.6386817554217328E-01   3.9270336866073571E+01  -3.0260238759183267E-12
                54   1.68750000E+00   3.12500000E-02               17  -1.8651746813702630E-13  -3.5687008903551032E-12   6.1489432787367038E-01   6.1489432787367038E-01   3.9270336915330617E+01  -3.5687008903551032E-12
                55   1.71875000E+00   3.12500000E-02               17   3.7063685454086226E-12  -3.2427394103251572E-12   6.5385410142263367E-01   6.5385410142263367E-01   3.9270336959188654E+01  -3.2427394103251572E-12
                56   1.75000000E+00   3.12500000E-02               17   5.4036775054555619E-12  -1.4797052472204086E-12   6.7830675822830533E-01   6.7830675822830533E-01   3.9270336997337814E+01  -1.4797052472204086E-12
                57   1.78125000E+00   3.12500000E-02               17   5.4276583227874653E-12  -2.0428103653102880E-13   6.8564221749077625E-01   6.8564221749077625E-01   3.9270337029594124E+01  -2.0428103653102880E-13
                58   1.81250000E+00   3.12500000E-02               17   3.7609915182201803E-12   1.7319479184152442E-12   6.7307683191769285E-01   6.7307683191769285E-01   3.9270337055918567E+01   1.7319479184152442E-12
                59   1.84375000E+00   3.12500000E-02               17   1.2931877790833823E-12   2.3296919948734285E-12   6.3764761132869108E-01   6.3764761132869108E-01   3.9270337076436959E+01   2.3296919948734285E-12
                60   1.87500000E+00   3.12500000E-02               17  -1.5596413049934199E-12   2.4407142973359441E-12   5.7620424800537728E-01   5.7620424800537728E-01   3.9270337091458934E+01   2.4407142973359441E-12
                61   1.90625000E+00   3.12500000E-02               17  -3.0979663279140368E-12   1.4246381851990009E-12   4.8539820025939107E-01   4.8539820025939107E-01   3.9270337101499081E+01   1.4246381851990009E-12
                62   1.93750000E+00   3.12500000E-02               17  -3.7849723355520837E-12   1.8474111129762605E-13   3.6166794894839494E-01   3.6166794894839494E-01   3.9270337107295411E+01   1.8474111129762605E-13
                63   1.96875000E+00   3.12500000E-02               17  -2.8705926524708048E-12  -7.5406347832540632E-13   2.0121937231394052E-01   2.0121937231394052E-01   3.9270337109830145E+01  -7.5406347832540632E-13
