% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               17   1.1102230246251565E-14   7.9936057773011271E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245427885E+01   7.9936057773011271E-15
                 1   3.12500000E-02   3.12500000E-02               17  -2.2908860830561650E-07  -1.3093492101253101E-02  -2.4311502042673877E-05  -2.4311502042673877E-05   3.9269908364928341E+01  -1.3093492101253101E-02
                 2   6.25000000E-02   3.12500000E-02               17  -2.8139544016037021E-06  -5.2884933192570704E-02  -3.6409977880248051E-04  -3.6409977880248051E-04   3.9269912109536740E+01  -5.2884933192570704E-02
                 3   9.37500000E-02   3.12500000E-02               17  -1.1029761295744400E-05  -1.2022699488325084E-01  -1.7754239274828734E-03  -1.7754239274828734E-03   3.9269937667296489E+01  -1.2022699488325084E-01
                 4   1.25000000E-01   3.12500000E-02               17  -2.5992154113807509E-05  -2.1381695799371081E-01  -5.3989440167787478E-03  -5.3989440167787478E-03   3.9270031320852134E+01  -2.1381695799371081E-01
                 5   1.56250000E-01   3.12500000E-02               17  -4.3095827766737038E-05  -3.2806236354765916E-01  -1.2502738514300490E-02  -1.2502738514300490E-02   3.9270276148170922E+01  -3.2806236354765916E-01
                 6   1.87500000E-01   3.12500000E-02               17  -4.7747481600413089E-05  -4.4582539261692533E-01  -2.3759069040616226E-02  -2.3759069040616226E-02   3.9270787148708962E+01  -4.4582539261692533E-01
                 7   2.18750000E-01   3.12500000E-02               17  -2.4483410219544588E-05  -5.3179858584457329E-01  -3.7863160060969347E-02  -3.7863160060969347E-02   3.9271669290993700E+01  -5.3179858584457329E-01
                 8   2.50000000E-01   3.12500000E-02               17   3.3875982446640585E-05  -5.8221548369562592E-01  -5.3570630145874418E-02  -5.3570630145874418E-02   3.9272976889291130E+01  -5.8221548369562592E-01
                 9   2.81250000E-01   3.12500000E-02               17   1.1076145557675776E-04  -5.9966226027624492E-01  -6.9556031487674391E-02  -6.9556031487674391E-02   3.9274728100072117E+01  -5.9966226027624492E-01
                10   3.12500000E-01   3.12500000E-02               17   1.7604241689095357E-04  -5.8874604080791015E-01  -8.4486075712744330E-02  -8.4486075712744330E-02   3.9276892945206640E+01  -5.8874604080791015E-01
                11   3.43750000E-01   3.12500000E-02               17   2.0306181309548421E-04  -5.6377296676079025E-01  -9.8357487304825270E-02  -9.8357487304825270E-02   3.9279413595060511E+01  -5.6377296676079025E-01
                12   3.75000000E-01   3.12500000E-02               17   2.5065347861341625E-04  -5.5413198161923916E-01  -1.1488073441248775E-01  -1.1488073441248775E-01   3.9282283231854571E+01  -5.5413198161923916E-01
                13   4.06250000E-01   3.12500000E-02               17   4.7815204420498247E-04  -5.7963855346843207E-01  -1.3914501211046276E-01  -1.3914501211046276E-01   3.9285654102185539E+01  -5.7963855346843207E-01
                14   4.37500000E-01   3.12500000E-02               17   1.0111035801207979E-03  -6.2953834089232696E-01  -1.7167365474913193E-01  -1.7167365474913193E-01   3.9289763390442218E+01  -6.2953834089232696E-01
                15   4.68750000E-01   3.12500000E-02               17   2.0931167579352206E-03  -7.0265352045839702E-01  -2.1448258670540710E-01  -2.1448258670540710E-01   3.9294884529733928E+01  -7.0265352045839702E-01
                16   5.00000000E-01   3.12500000E-02               17   3.6413263455465916E-03  -7.8487338291737974E-01  -2.6568624211457664E-01  -2.6568624211457664E-01   3.9301310583785188E+01  -7.8487338291737974E-01
                17   5.31250000E-01   3.12500000E-02               17   5.0305152583434154E-03  -8.4988834934756174E-01  -3.1763231546184933E-01  -3.1763231546184933E-01   3.9309189988652008E+01  -8.4988834934756174E-01
                18   5.62500000E-01   3.12500000E-02               17   5.2797785418959298E-03  -8.7187168029294426E-01  -3.5981557538482989E-01  -3.5981557538482989E-01   3.9318360612989679E+01  -8.7187168029294426E-01
                19   5.93750000E-01   3.12500000E-02               17   4.1496388698665787E-03  -8.5617026482745251E-01  -3.9052383158553272E-01  -3.9052383158553272E-01   3.9328446104343442E+01  -8.5617026482745251E-01
                20   6.25000000E-01   3.12500000E-02               17   1.0569696834838993E-03  -8.1301207745918957E-01  -4.1058442500512671E-01  -4.1058442500512671E-01   3.9339098551976946E+01  -8.1301207745918957E-01
                21   6.56250000E-01   3.12500000E-02               17  -3.2977939755883812E-03  -7.5136510743670115E-01  -4.2153259885658312E-01  -4.2153259885658312E-01   3.9349968161649329E+01  -7.5136510743670115E-01
                22   6.87500000E-01   3.12500000E-02               17  -6.1013954953113569E-03  -6.9919458235009802E-01  -4.3438606525128975E-01  -4.3438606525128975E-01   3.9360914065341980E+01  -6.9919458235009802E-01
                23   7.18750000E-01   3.12500000E-02               17  -4.1450874012254821E-03  -6.8286981427590177E-01  -4.6283556471722553E-01  -4.6283556471722553E-01   3.9372206284382187E+01  -6.8286981427590177E-01
                24   7.50000000E-01   3.12500000E-02               17   2.1221747170939442E-03  -7.0220023222382966E-01  -5.1024098263914253E-01  -5.1024098263914253E-01   3.9384430769293424E+01  -7.0220023222382966E-01
                25   7.81250000E-01   3.12500000E-02               17   1.1212528109387415E-02  -7.3921463368521634E-01  -5.7014454095941103E-01  -5.7014454095941103E-01   3.9398084509570324E+01  -7.3921463368521634E-01
                26   8.12500000E-01   3.12500000E-02               17   2.1177344209023230E-02  -7.8462477615226200E-01  -6.3873558994133739E-01  -6.3873558994133739E-01   3.9413522210591871E+01  -7.8462477615226200E-01
                27   8.43750000E-01   3.12500000E-02               17   2.2167384725211736E-02  -8.1188794183234725E-01  -6.9943206500519239E-01  -6.9943206500519239E-01   3.9430806587261053E+01  -8.1188794183234725E-01
                28   8.75000000E-01   3.12500000E-02               17   7.8891314490323605E-03  -7.9777032435562578E-01  -7.3498855848064792E-01  -7.3498855848064792E-01   3.9449411896572066E+01  -7.9777032435562578E-01
                29   9.06250000E-01   3.12500000E-02               17  -1.7449007681184736E-02  -7.4435775740201904E-01  -7.4359601597323954E-01  -7.4359601597323954E-01   3.9468482819711191E+01  -7.4435775740201904E-01
                30   9.37500000E-01   3.12500000E-02               17  -4.4597250221842133E-02  -6.7276704136785237E-01  -7.3733906897700252E-01  -7.3733906897700252E-01   3.9487369729941541E+01  -6.7276704136785237E-01
                31   9.68750000E-01   3.12500000E-02               17  -6.6523112730505929E-02  -5.9627815040636101E-01  -7.2530675667176348E-01  -7.2530675667176348E-01   3.9505770564255592E+01  -5.9627815040636101E-01
                32   1.00000000E+00   3.12500000E-02               17  -6.4336073119498405E-02  -5.3405769246818280E-01  -7.2044882154746137E-01  -7.2044882154746137E-01   3.9523712520961851E+01  -5.3405769246818280E-01
                33   1.03125000E+00   3.12500000E-02               17  -3.0857253362965409E-02  -4.9895343028845640E-01  -7.3150962573702216E-01  -7.3150962573702216E-01   3.9541618374068214E+01  -4.9895343028845640E-01
                34   1.06250000E+00   3.12500000E-02               17   1.5713517421462653E-02  -4.8295021284131701E-01  -7.5282369142320094E-01  -7.5282369142320094E-01   3.9559967426727077E+01  -4.8295021284131701E-01
                35   1.09375000E+00   3.12500000E-02               17   5.4582395279440421E-02  -4.7001846392830493E-01  -7.7236062901447866E-01  -7.7236062901447866E-01   3.9578927282200759E+01  -4.7001846392830493E-01
                36   1.12500000E+00   3.12500000E-02               17   7.1668993546190940E-02  -4.5093629419510761E-01  -7.8363671511286603E-01  -7.8363671511286603E-01   3.9598375139250592E+01  -4.5093629419510761E-01
                37   1.15625000E+00   3.12500000E-02               17   4.5662549208168368E-02  -4.1925148861107453E-01  -7.8131264072478590E-01  -7.8131264072478590E-01   3.9618011987025383E+01  -4.1925148861107453E-01
                38   1.18750000E+00   3.12500000E-02               17  -1.1037643852818357E-02  -3.7599981433440111E-01  -7.6409201708332120E-01  -7.6409201708332120E-01   3.9637428861157176E+01  -3.7599981433440111E-01
                39   1.21875000E+00   3.12500000E-02               17  -5.7290934632984625E-02  -3.2338120276214766E-01  -7.3020546369271822E-01  -7.3020546369271822E-01   3.9656185553870976E+01  -3.2338120276214766E-01
                40   1.25000000E+00   3.12500000E-02               17  -6.9285420748755211E-02  -2.5933263749258062E-01  -6.7569316424566939E-01  -6.7569316424566939E-01   3.9673737207464455E+01  -2.5933263749258062E-01
                41   1.28125000E+00   3.12500000E-02               17  -3.4550447594033251E-02  -1.7820501752886253E-01  -5.9625920960996837E-01  -5.9625920960996837E-01   3.9689410029482140E+01  -1.7820501752886253E-01
                42   1.31250000E+00   3.12500000E-02               17   4.5843774925871550E-02  -7.4322804091993155E-02  -4.8852605855204612E-01  -4.8852605855204612E-01   3.9702383984637208E+01  -7.4322804091993155E-02
                43   1.34375000E+00   3.12500000E-02               17   1.2118268326207859E-01   4.3626857818764492E-02  -3.6074186852901391E-01  -3.6074186852901391E-01   3.9711899343340747E+01   4.3626857818764492E-02
                44   1.37500000E+00   3.12500000E-02               17   1.4707271779727593E-01   1.5609196390067054E-01  -2.2838080021891161E-01  -2.2838080021891161E-01   3.9717599502452849E+01   1.5609196390067054E-01
                45   1.40625000E+00   3.12500000E-02               17   1.1812803024439722E-01   2.4789999281657005E-01  -1.0378577980816994E-01  -1.0378577980816994E-01   3.9719579957473670E+01   2.4789999281657005E-01
                46   1.43750000E+00   3.12500000E-02               17   3.9798913531706503E-02   3.0948011098873651E-01   3.3123015047563653E-03   3.3123015047563653E-03   3.9718285571809851E+01   3.0948011098873651E-01
                47   1.46875000E+00   3.12500000E-02               17  -4.4665160384822933E-02   3.5873946321668926E-01   1.0400040586188070E-01   1.0400040586188070E-01   3.9714201409789588E+01   3.5873946321668926E-01
                48   1.50000000E+00   3.12500000E-02               17  -8.7146827542970318E-02   4.3051907051329197E-01   2.2575392992269766E-01   2.2575392992269766E-01   3.9707114056718432E+01   4.3051907051329197E-01
                49   1.53125000E+00   3.12500000E-02               17  -8.2198268467365443E-02   5.4069902139902326E-01   3.8071216179793027E-01   3.8071216179793027E-01   3.9696135004227180E+01   5.4069902139902326E-01
