% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02               17   2.9976021664879227E-15   6.6613381477509392E-16   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428866E+01   6.6613381477509392E-16
                 1   1.56250000E-02   1.56250000E-02               17  -1.9309145948831485E-08  -3.2978133219003780E-03  -1.6583363578163588E-06  -1.6583363578163588E-06   3.9269908249128008E+01  -3.2978133219003780E-03
                 2   3.12500000E-02   1.56250000E-02               17  -2.4869008730110664E-07  -1.3093389731182459E-02  -2.4308605071085478E-05  -2.4308605071085478E-05   3.9269908364903685E+01  -1.3093389731182459E-02
                 3   4.68750000E-02   1.56250000E-02               17  -1.0563023056242571E-06  -2.9567976917750372E-02  -1.1818115041876531E-04  -1.1818115041876531E-04   3.9269909158419040E+01  -2.9567976917750372E-02
                 4   6.25000000E-02   1.56250000E-02               17  -2.8808603425023449E-06  -5.2885064169335028E-02  -3.6409223194465087E-04  -3.6409223194465087E-04   3.9269912109680341E+01  -5.2885064169335028E-02
                 5   7.81250000E-02   1.56250000E-02               17  -6.1476121041570408E-06  -8.3122947428624583E-02  -8.7157614002729596E-04  -8.7157614002729596E-04   3.9269920066860536E+01  -8.3122947428624583E-02
                 6   9.37500000E-02   1.56250000E-02               17  -1.1161320197183855E-05  -1.2022835116078645E-01  -1.7754171043424700E-03  -1.7754171043424700E-03   3.9269937668122722E+01  -1.2022835116078645E-01
                 7   1.09375000E-01   1.56250000E-02               17  -1.7980710770859609E-05  -1.6396163401635144E-01  -3.2297854820728736E-03  -3.2297854820728736E-03   3.9269971697003839E+01  -1.6396163401635144E-01
                 8   1.25000000E-01   1.56250000E-02               17  -2.6280907192810510E-05  -2.1382370016197827E-01  -5.3990284730840166E-03  -5.3990284730840166E-03   3.9270031324807228E+01  -2.1382370016197827E-01
                 9   1.40625000E-01   1.56250000E-02               17  -3.5218996845443051E-05  -2.6894945807403237E-01  -8.4436492652726555E-03  -8.4436492652726555E-03   3.9270128175498130E+01  -2.6894945807403237E-01
