 Motion Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
      2    1   1963   2  64  11778    448 -2.26910307062102E+00  9.26083972138329E-01  1.110051E+04
      2    1   1963   3   8  19630     56 -2.27001694002239E+00  8.77504330352280E-01  5.072379E+03
      2    1   1963   3  16  19630    112 -2.28158657082339E+00  8.82726258521818E-01  5.927274E+03
      2    1   1963   3  32  19630    224 -2.29491497454271E+00  8.73509235929841E-01  1.060316E+04
      2    1   1963   3  64  19630    448 -2.29554024478613E+00  8.73085699743646E-01  1.904399E+04
      2    2   7781   1   8  23343     56 -2.28836094011460E+00  9.01654589666805E-01  4.782189E+03
      2    2   7781   1  16  23343    112 -2.25884959668753E+00  9.38414629327842E-01  8.884747E+03
      2    2   7781   1  32  23343    224 -2.26536937633323E+00  9.35200416328856E-01  1.125540E+04
      2    2   7781   1  64  23343    448 -2.26586671302253E+00  9.34789384888889E-01  2.115441E+04
      2    2   7781   2   8  46686     56 -2.25766869337805E+00  8.81789846867327E-01  1.353808E+04
      2    2   7781   2  16  46686    112 -2.27532317374149E+00  8.86530757196508E-01  2.058797E+04
      2    2   7781   2  32  46686    224 -2.28847838295495E+00  8.79084035193437E-01  3.257286E+04
      2    2   7781   2  64  46686    448 -2.28902412890067E+00  8.78806451247420E-01  6.116741E+04
      2    2   7781   3   8  77810     56 -2.21604335889479E+00  8.78932270245496E-01  2.515586E+04
      2    2   7781   3  16  77810    112 -2.27911195482400E+00  8.74352027532226E-01  4.210587E+04
      2    2   7781   3  32  77810    224 -2.30068876675797E+00  8.63126743040350E-01  6.587123E+04
      2    2   7781   3  64  77810    448 -2.30205773840866E+00  8.62077687907550E-01  1.418606E+05
      2    3  15882   1   8  47646     56 -2.28709763828272E+00  8.68385118930575E-01  1.741261E+04
      2    3  15882   1  16  47646    112 -2.26773806564601E+00  9.06986651876586E-01  2.806989E+04
      2    3  15882   1  32  47646    224 -2.28014865380989E+00  8.99799496559372E-01  3.956994E+04
      2    3  15882   1  64  47646    448 -2.28021162159465E+00  8.99985672022752E-01  6.123355E+04
      2    3  15882   2   8  95292     56 -2.22501674483135E+00  8.84317067607304E-01  4.238803E+04
      2    3  15882   2  16  95292    112 -2.27736735004278E+00  8.79609761229491E-01  6.296221E+04
      2    3  15882   2  32  95292    224 -2.29451996885242E+00  8.72224803500059E-01  1.074165E+05
      2    3  15882   2  64  95292    448 -2.29570616267440E+00  8.71482037420812E-01  1.755195E+05
      2    3  15882   3   8 158820     56 -2.16249467467467E+00  8.79713937826423E-01  8.799064E+04
      2    3  15882   3  16 158820    112 -2.26789405913983E+00  8.78456041169063E-01  1.296462E+05
      2    3  15882   3  32 158820    224 -2.29674261774109E+00  8.67133284255724E-01  2.462461E+05
      2    3  15882   3  64 158820    448 -2.29846203043684E+00  8.66267085091821E-01  3.547223E+05
