   3.1250000e-04   1.6850288e-09  -1.2286073e-07  -6.1211736e-15
   6.2500000e-04   8.1759632e-09  -6.0679874e-07  -2.0678387e-13
   9.3750000e-04   2.8677506e-08  -2.1630538e-06  -2.1629498e-12
   1.2500000e-03   7.0468860e-08  -5.4485067e-06  -9.7217419e-12
   1.5625000e-03   1.3809211e-07  -1.1047649e-05  -3.3161257e-11
   1.8750000e-03   2.3277774e-07  -1.9458207e-05  -8.7008944e-11
   2.1875000e-03   3.5217387e-07  -3.1081001e-05  -2.0673112e-10
   2.5000000e-03   4.9036538e-07  -4.6214218e-05  -4.0489210e-10
   2.8125000e-03   6.3818973e-07  -6.5052179e-05  -7.1450426e-10
   3.1250000e-03   7.8380728e-07  -8.7688336e-05  -1.2210760e-09
   3.4375000e-03   9.1355752e-07  -1.1412268e-04  -1.9385799e-09
   3.7500000e-03   1.0128984e-06  -1.4427197e-04  -2.9474454e-09
   4.0625000e-03   1.0675040e-06  -1.7798303e-04  -4.2818867e-09
   4.3750000e-03   1.0643774e-06  -2.1504806e-04  -6.0447009e-09
   4.6875000e-03   9.9291766e-07  -2.5522098e-04  -8.2643920e-09
   5.0000000e-03   8.4586773e-07  -2.9823410e-04  -1.1056783e-08
   5.3125000e-03   6.2007993e-07  -3.4381429e-04  -1.4442491e-08
   5.6250000e-03   3.1704639e-07  -3.9169786e-04  -1.8506743e-08
   5.9375000e-03  -5.6844784e-08  -4.4164367e-04  -2.3319255e-08
   6.2500000e-03  -4.9034910e-07  -4.9344376e-04  -2.8947425e-08
   6.5625000e-03  -9.6770303e-07  -5.4693136e-04  -3.5470460e-08
   6.8750000e-03  -1.4692332e-06  -6.0198631e-04  -4.2944985e-08
   7.1875000e-03  -1.9722898e-06  -6.5853648e-04  -5.1460590e-08
   7.5000000e-03  -2.4522652e-06  -7.1655818e-04  -6.1075871e-08
   7.8125000e-03  -2.8838552e-06  -7.7607284e-04  -7.1898508e-08
