 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   2    0     80   4  16   2000    112 -8.51358070585558E-03 -1.27178318523485E-02  2.027259E+02
        1      1   2    0     80   4  32   2000    224 -8.59930330609093E-03 -1.21790452205988E-02  3.965509E+02
        1      1   2    0     80   4  64   2000    448 -8.61000072668115E-03 -1.22363434380025E-02  4.959293E+02
        1      1   2    0     80   4 128   2000    896 -8.61002932791150E-03 -1.22445909998766E-02  8.458792E+02
        1      1   2    1    320   1  16   1280    112 -8.39683857632097E-03 -1.24910130027780E-02  3.535854E+01
        1      1   2    1    320   1  32   1280    224 -8.54983013400272E-03 -1.23024654901162E-02  6.836047E+01
        1      1   2    1    320   1  64   1280    448 -8.55578383738975E-03 -1.23036699698427E-02  1.334080E+02
        1      1   2    1    320   1 128   1280    896 -8.55632760095412E-03 -1.23054601448041E-02  1.576395E+02
        1      1   2    1    320   2  16   2880    112 -8.51059697267948E-03 -1.27306490203577E-02  1.118491E+02
        1      1   2    1    320   2  32   2880    224 -8.60249961921306E-03 -1.22168385738650E-02  2.178791E+02
        1      1   2    1    320   2  64   2880    448 -8.61059030031050E-03 -1.22662630181321E-02  4.279416E+02
        1      1   2    1    320   2 128   2880    896 -8.61072298713504E-03 -1.22731710189732E-02  4.797368E+02
        1      1   2    1    320   3  16   5120    112 -8.50687406965372E-03 -1.27309381401436E-02  2.904606E+02
        1      1   2    1    320   3  32   5120    224 -8.59259126625174E-03 -1.21730382158836E-02  5.683640E+02
        1      1   2    1    320   3  64   5120    448 -8.60456253879564E-03 -1.22280420399626E-02  9.907249E+02
        1      1   2    1    320   3 128   5120    896 -8.60441746410843E-03 -1.22353438142321E-02  1.253472E+03
        1      1   2    1    320   4  16   8000    112 -8.50499181507694E-03 -1.27668466045425E-02  7.637965E+02
        1      1   2    1    320   4  32   8000    224 -8.59116943165313E-03 -1.21775912742954E-02  1.521697E+03
        1      1   2    1    320   4  64   8000    448 -8.60396450139908E-03 -1.22311897011522E-02  2.383279E+03
        1      1   2    1    320   4 128   8000    896 -8.60376825035817E-03 -1.22380533865346E-02  3.268938E+03
        1      1   2    2   1280   1  16   5120    112 -8.49416088060746E-03 -1.27172741312171E-02  1.410422E+02
        1      1   2    2   1280   1  32   5120    224 -8.59416238971991E-03 -1.22587178505244E-02  2.615821E+02
        1      1   2    2   1280   1  64   5120    448 -8.60124852009284E-03 -1.22928911012453E-02  4.815005E+02
        1      1   2    2   1280   1 128   5120    896 -8.60146697155897E-03 -1.22972734155094E-02  5.954690E+02
        1      1   2    2   1280   2  16  11520    112 -8.50681359917899E-03 -1.27407709093848E-02  4.794886E+02
        1      1   2    2   1280   2  32  11520    224 -8.59263128010252E-03 -1.21765913874158E-02  8.288561E+02
        1      1   2    2   1280   2  64  11520    448 -8.60483707373514E-03 -1.22310933369443E-02  1.443431E+03
        1      1   2    2   1280   2 128  11520    896 -8.60463610682499E-03 -1.22381483933513E-02  1.946593E+03
        1      1   2    2   1280   3  16  20480    112 -8.50498946202097E-03 -1.27950110718151E-02  1.339926E+03
        1      1   2    2   1280   3  32  20480    224 -8.59107496975248E-03 -1.21793466873237E-02  2.277522E+03
        1      1   2    2   1280   3  64  20480    448 -8.60396074076022E-03 -1.22312849163317E-02  3.415257E+03
        1      1   2    2   1280   3 128  20480    896 -8.60378998198491E-03 -1.22381964631466E-02  5.111435E+03
        1      1   2    2   1280   4  16  32000    112 -8.50538009975138E-03 -1.28685315123732E-02  3.867046E+03
        1      1   2    2   1280   4  32  32000    224 -8.59095697878485E-03 -1.21839628844554E-02  5.326516E+03
        1      1   2    2   1280   4  64  32000    448 -8.60391009056071E-03 -1.22316370610482E-02  1.136946E+04
        1      1   2    2   1280   4 128  32000    896 -8.60377937869760E-03 -1.22383655241024E-02  1.367142E+04
