% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   3.12500000E-02               17   1.1102230246251565E-14   7.9936057773011271E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245427885E+01   7.9936057773011271E-15
                 1   3.12500000E-02   3.12500000E-02               17  -3.1252778143198157E-13  -1.5298873279334657E-13  -1.1519276001677008E-06  -1.1519276001677008E-06   3.9269908252355890E+01  -1.5298873279334657E-13
                 2   6.25000000E-02   3.12500000E-02               17   3.8857805861880479E-15  -1.8740564655672642E-13  -1.7396347193687246E-05  -1.7396347193687246E-05   3.9269908462193975E+01  -1.8740564655672642E-13
                 3   9.37500000E-02   3.12500000E-02               17  -2.6945112807652549E-13  -1.7363888105137448E-13  -7.9684451495120809E-05  -7.9684451495120809E-05   3.9269909799507786E+01  -1.7363888105137448E-13
                 4   1.25000000E-01   3.12500000E-02               17  -7.1942451995710144E-13  -1.5543122344752192E-15  -2.1310463351672821E-04  -2.1310463351672821E-04   3.9269914161061216E+01  -1.5543122344752192E-15
                 5   1.56250000E-01   3.12500000E-02               17  -4.6029846600958990E-13  -2.9487523534044158E-13  -4.0111091413800801E-04  -4.0111091413800801E-04   3.9269923680154200E+01  -2.9487523534044158E-13
                 6   1.87500000E-01   3.12500000E-02               17  -7.8703710215677347E-13  -6.6657790398494399E-13  -5.8302111860191949E-04  -5.8302111860191949E-04   3.9269939119888633E+01  -6.6657790398494399E-13
                 7   2.18750000E-01   3.12500000E-02               17  -4.4875214655348827E-13  -2.3558932582545822E-13  -7.8889038301229591E-04  -7.8889038301229591E-04   3.9269960286105722E+01  -2.3558932582545822E-13
                 8   2.50000000E-01   3.12500000E-02               17  -3.7447822620606530E-13  -2.0206059048177849E-13  -1.1011310511783515E-03  -1.1011310511783515E-03   3.9269989293301826E+01  -2.0206059048177849E-13
                 9   2.81250000E-01   3.12500000E-02               17  -1.6320278461989801E-14   3.4972025275692431E-13  -1.5946618581480117E-03  -1.5946618581480117E-03   3.9270030549264298E+01   3.4972025275692431E-13
                10   3.12500000E-01   3.12500000E-02               17   4.4619863359685041E-13   5.3756998852350080E-13  -2.2705278363520792E-03  -2.2705278363520792E-03   3.9270090205616832E+01   5.3756998852350080E-13
                11   3.43750000E-01   3.12500000E-02               17   5.8153482029865700E-13   7.9980466693996277E-13  -2.9429445671036725E-03  -2.9429445671036725E-03   3.9270171645090123E+01   7.9980466693996277E-13
                12   3.75000000E-01   3.12500000E-02               17   9.6234131774508569E-13   1.2339018695683990E-12  -3.4110858076098760E-03  -3.4110858076098760E-03   3.9270270992829680E+01   1.2339018695683990E-12
                13   4.06250000E-01   3.12500000E-02               17   1.8854917627209034E-12   1.8489654252107357E-12  -3.8097882766811725E-03  -3.8097882766811725E-03   3.9270383068350583E+01   1.8489654252107357E-12
                14   4.37500000E-01   3.12500000E-02               17   1.0251799409388695E-12   1.0864642518981782E-12  -4.2898094129633912E-03  -4.2898094129633912E-03   3.9270508089136257E+01   1.0864642518981782E-12
                15   4.68750000E-01   3.12500000E-02               17   6.6269212339875594E-13   7.9980466693996277E-13  -5.0863202995376361E-03  -5.0863202995376361E-03   3.9270651980299888E+01   7.9980466693996277E-13
                16   5.00000000E-01   3.12500000E-02               17   2.2626345241860690E-13   8.4621198936929432E-13  -6.1833481318823852E-03  -6.1833481318823852E-03   3.9270825815907308E+01   8.4621198936929432E-13
                17   5.31250000E-01   3.12500000E-02               17   5.3579363168410055E-13   1.9992896227449819E-12  -7.1409314667825047E-03  -7.1409314667825047E-03   3.9271033092630020E+01   1.9992896227449819E-12
                18   5.62500000E-01   3.12500000E-02               17   5.3956838996782608E-13   1.1501910535116622E-13  -7.6497361636852362E-03  -7.6497361636852362E-03   3.9271263135077980E+01   1.1501910535116622E-13
                19   5.93750000E-01   3.12500000E-02               17   5.0726089995123402E-13  -1.1399770016851107E-12  -7.8575306369101094E-03  -7.8575306369101094E-03   3.9271503513383038E+01  -1.1399770016851107E-12
                20   6.25000000E-01   3.12500000E-02               17   1.0573764086529991E-12  -1.0398348848639216E-12  -7.9931736103900919E-03  -7.9931736103900919E-03   3.9271747421865904E+01  -1.0398348848639216E-12
                21   6.56250000E-01   3.12500000E-02               17   1.1654011089490268E-12  -8.2245321664231597E-13  -8.5751219056441758E-03  -8.5751219056441758E-03   3.9272000608571872E+01  -8.2245321664231597E-13
                22   6.87500000E-01   3.12500000E-02               17   1.1216583217787957E-12  -4.4342307603528752E-13  -9.5744662674458053E-03  -9.5744662674458053E-03   3.9272278999952967E+01  -4.4342307603528752E-13
                23   7.18750000E-01   3.12500000E-02               17   1.2818635042322057E-12  -1.1701750679549150E-12  -1.0395825558097593E-02  -1.0395825558097593E-02   3.9272587245522125E+01  -1.1701750679549150E-12
                24   7.50000000E-01   3.12500000E-02               17   1.8629542353210127E-12   8.4976470304809482E-13  -1.0666516812467636E-02  -1.0666516812467636E-02   3.9272912718092726E+01   8.4976470304809482E-13
                25   7.81250000E-01   3.12500000E-02               17   8.1223916481576452E-13   1.5942802633617248E-12  -1.0338716842269696E-02  -1.0338716842269696E-02   3.9273236765719254E+01   1.5942802633617248E-12
                26   8.12500000E-01   3.12500000E-02               17   3.0753177782116836E-13   1.4082068844345486E-12  -9.7666295883430676E-03  -9.7666295883430676E-03   3.9273544120164061E+01   1.4082068844345486E-12
                27   8.43750000E-01   3.12500000E-02               17   3.2418512319054571E-14   5.2224891078367364E-13  -9.6187948058170103E-03  -9.6187948058170103E-03   3.9273837870289668E+01   5.2224891078367364E-13
                28   8.75000000E-01   3.12500000E-02               17   6.6524563635539380E-13   1.4477308241112041E-13  -9.9812312098147005E-03  -9.9812312098147005E-03   3.9274134916080399E+01   1.4477308241112041E-13
                29   9.06250000E-01   3.12500000E-02               17   8.4987572535055733E-13  -2.1866952693017083E-12  -1.0396769108908799E-02  -1.0396769108908799E-02   3.9274445148377438E+01  -2.1866952693017083E-12
                30   9.37500000E-01   3.12500000E-02               17   1.0030865027488289E-12   9.4457774935108318E-13  -1.0344157289191108E-02  -1.0344157289191108E-02   3.9274762213108431E+01   9.4457774935108318E-13
                31   9.68750000E-01   3.12500000E-02               17   1.2390088954816747E-12  -3.3135716392962422E-12  -9.5979698834113836E-03  -9.5979698834113836E-03   3.9275066605193551E+01  -3.3135716392962422E-12
                32   1.00000000E+00   3.12500000E-02               17   1.6819878823071122E-13  -2.2131185772877870E-12  -8.3530602002757914E-03  -8.3530602002757914E-03   3.9275338361519452E+01  -2.2131185772877870E-12
                33   1.03125000E+00   3.12500000E-02               17   3.4416913763379853E-14   1.0187406473960436E-12  -7.2230044030915097E-03  -7.2230044030915097E-03   3.9275570137634645E+01   1.0187406473960436E-12
                34   1.06250000E+00   3.12500000E-02               17   5.6776805479330505E-13  -1.6675549829869851E-13  -6.6822545204563155E-03  -6.6822545204563155E-03   3.9275774736064129E+01  -1.6675549829869851E-13
                35   1.09375000E+00   3.12500000E-02               17  -7.2208905521620181E-13  -1.1932677068671182E-12  -6.4733991978210281E-03  -6.4733991978210281E-03   3.9275968463636644E+01  -1.1932677068671182E-12
                36   1.12500000E+00   3.12500000E-02               17  -1.2783107905534052E-12   2.4589219549397967E-12  -6.1969133483631977E-03  -6.1969133483631977E-03   3.9276155536088787E+01   2.4589219549397967E-12
                37   1.15625000E+00   3.12500000E-02               17  -1.9428902930940239E-12  -4.6540549192286562E-13  -5.3928264165733764E-03  -5.3928264165733764E-03   3.9276327527518696E+01  -4.6540549192286562E-13
