% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02               17   1.1102230246251565E-14   7.9936057773011271E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245427885E+01   7.9936057773011271E-15
                 1   1.56250000E-02   1.56250000E-02               17  -3.4676816973444602E-11  -3.1025596844820313E-03  -1.1975265087911914E-06  -1.1975265087911914E-06   3.9269908249164935E+01  -3.1025596844820313E-03
                 2   3.12500000E-02   1.56250000E-02               17   4.2492120932990929E-11  -1.2630569775140321E-02  -1.9334535380579904E-05  -1.9334535380579904E-05   3.9269908365925936E+01  -1.2630569775140321E-02
                 3   4.68750000E-02   1.56250000E-02               17   1.9050416799615277E-09  -2.8873422836853457E-02  -9.8546162653466787E-05  -9.8546162653466787E-05   3.9269909166267460E+01  -2.8873422836853457E-02
                 4   6.25000000E-02   1.56250000E-02               17   1.5569936118176031E-08  -5.2045779284831895E-02  -3.1275154156290737E-04  -3.1275154156290737E-04   3.9269912143590133E+01  -5.2045779284831895E-02
                 5   7.81250000E-02   1.56250000E-02               17   7.7231918749198769E-08  -8.2256940938920664E-02  -7.6443009072183800E-04  -7.6443009072183800E-04   3.9269920172135691E+01  -8.2256940938920664E-02
                 6   9.37500000E-02   1.56250000E-02               17   2.8321702461031606E-07  -1.1947126647634532E-01  -1.5814453175428261E-03  -1.5814453175428261E-03   3.9269937931356871E+01  -1.1947126647634532E-01
                 7   1.09375000E-01   1.56250000E-02               17   8.4287949642103399E-07  -1.6345533154137670E-01  -2.9112649167288319E-03  -2.9112649167288319E-03   3.9269972261268194E+01  -1.6345533154137670E-01
                 8   1.25000000E-01   1.56250000E-02               17   2.1478690511722576E-06  -2.1370561619489559E-01  -4.9116870001338596E-03  -4.9116870001338596E-03   3.9270032401632001E+01  -2.1370561619489559E-01
                 9   1.40625000E-01   1.56250000E-02               17   4.8468746174368249E-06  -2.6934215198011824E-01  -7.7366397602237555E-03  -7.7366397602237555E-03   3.9270130050128913E+01  -2.6934215198011824E-01
                10   1.56250000E-01   1.56250000E-02               17   9.8970941838638637E-06  -3.2893888050741005E-01  -1.1514386225803960E-02  -1.1514386225803960E-02   3.9270279143844604E+01  -3.2893888050741005E-01
                11   1.71875000E-01   1.56250000E-02               17   1.8431794093554110E-05  -3.9024741105931526E-01  -1.6313218808425539E-02  -1.6313218808425539E-02   3.9270495215434671E+01  -3.9024741105931526E-01
                12   1.87500000E-01   1.56250000E-02               17   3.1766502884500447E-05  -4.4869975791995986E-01  -2.2039039713047603E-02  -2.2039039713047603E-02   3.9270793835020008E+01  -4.4869975791995986E-01
                13   2.03125000E-01   1.56250000E-02               17   5.0139135780669086E-05  -4.9668849161644624E-01  -2.8309778486434872E-02  -2.8309778486434872E-02   3.9271186710408230E+01  -4.9668849161644624E-01
                14   2.18750000E-01   1.56250000E-02               17   7.4724286574956444E-05  -5.3436717664333977E-01  -3.4969624625499088E-02  -3.4969624625499088E-02   3.9271680532061140E+01  -5.3436717664333977E-01
                15   2.34375000E-01   1.56250000E-02               17   1.0608554777369328E-04  -5.6356693423080917E-01  -4.1946953634262096E-02  -4.1946953634262096E-02   3.9272281177249880E+01  -5.6356693423080917E-01
                16   2.50000000E-01   1.56250000E-02               17   1.4409847173035839E-04  -5.8415286297753766E-01  -4.9052342388682196E-02  -4.9052342388682196E-02   3.9272992064647532E+01  -5.8415286297753766E-01
                17   2.65625000E-01   1.56250000E-02               17   1.8739606298645572E-04  -5.9618449644421934E-01  -5.6081656455419543E-02  -5.6081656455419543E-02   3.9273813653582870E+01  -5.9618449644421934E-01
                18   2.81250000E-01   1.56250000E-02               17   2.3402058401533754E-04  -6.0001984530545527E-01  -6.2834301106661189E-02  -6.2834301106661189E-02   3.9274743169276242E+01  -6.0001984530545527E-01
                19   2.96875000E-01   1.56250000E-02               17   2.8113648183381024E-04  -5.9645267501710153E-01  -6.9141381789266931E-02  -6.9141381789266931E-02   3.9275774893805526E+01  -5.9645267501710153E-01
                20   3.12500000E-01   1.56250000E-02               17   3.2600746804800629E-04  -5.8691162688999632E-01  -7.4913188736929148E-02  -7.4913188736929148E-02   3.9276901026063769E+01  -5.8691162688999632E-01
                21   3.28125000E-01   1.56250000E-02               17   3.6779621527172068E-04  -5.7362091920204694E-01  -8.0200988743705015E-02  -8.0200988743705015E-02   3.9278113371968153E+01  -5.7362091920204694E-01
