% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02               17   2.5757174171303632E-14   1.3322676295501878E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269915027203503E+01   1.3322676295501878E-15
                 1   1.56250000E-02   1.56250000E-02               17  -4.7711535611227873E-08  -5.8781749665359762E-03  -5.9713799460620401E-06  -5.9713799460620401E-06   3.9269915047763810E+01  -5.8781749665359762E-03
                 2   3.12500000E-02   1.56250000E-02               17  -7.7717409707744878E-07  -1.8974770518995321E-02  -6.8438438909124849E-05  -6.8438438909124849E-05   3.9269915500148613E+01  -1.8974770518995321E-02
                 3   4.68750000E-02   1.56250000E-02               17  -3.5163169118668236E-06  -3.8520138624994704E-02  -2.8661165340826238E-04  -2.8661165340826238E-04   3.9269917994455362E+01  -3.8520138624994704E-02
                 4   6.25000000E-02   1.56250000E-02               17  -9.9538353799388801E-06  -6.4172859433529350E-02  -7.9234701524190376E-04  -7.9234701524190376E-04   3.9269925963079245E+01  -6.4172859433529350E-02
                 5   7.81250000E-02   1.56250000E-02               17  -2.1994159776550504E-05  -9.5609703092462972E-02  -1.7418447384041531E-03  -1.7418447384041531E-03   3.9269945103793319E+01  -9.5609703092462972E-02
                 6   9.37500000E-02   1.56250000E-02               17  -4.1526871132457899E-05  -1.3249212026311774E-01  -3.3090816933000339E-03  -3.3090816933000339E-03   3.9269983710053978E+01  -1.3249212026311774E-01
                 7   1.09375000E-01   1.56250000E-02               17  -7.0079064443451244E-05  -1.7433100720358041E-01  -5.6777438384373116E-03  -5.6777438384373116E-03   3.9270052892222836E+01  -1.7433100720358041E-01
                 8   1.25000000E-01   1.56250000E-02               17  -1.0824320295910184E-04  -2.2025505095690834E-01  -9.0277140054579180E-03  -9.0277140054579180E-03   3.9270166633951426E+01  -2.2025505095690834E-01
                 9   1.40625000E-01   1.56250000E-02               17  -1.5504938873434071E-04  -2.6886315498326940E-01  -1.3515806333297714E-02  -1.3515806333297714E-02   3.9270341588676679E+01  -2.6886315498326940E-01
                10   1.56250000E-01   1.56250000E-02               17  -2.0765567638614257E-04  -3.1831002677019526E-01  -1.9256525977626074E-02  -1.9256525977626074E-02   3.9270596564509823E+01  -3.1831002677019526E-01
                11   1.71875000E-01   1.56250000E-02               17  -2.6159595249231060E-04  -3.6660024519510914E-01  -2.6310867841029220E-02  -2.6310867841029220E-02   3.9270951762258505E+01  -3.6660024519510914E-01
                12   1.87500000E-01   1.56250000E-02               17  -3.1146897299283438E-04  -4.1192612748871715E-01  -3.4686782690078799E-02  -3.4686782690078799E-02   3.9271427929243316E+01  -4.1192612748871715E-01
                13   2.03125000E-01   1.56250000E-02               17  -3.5174522963465904E-04  -4.5289552830271296E-01  -4.4348478255005735E-02  -4.4348478255005735E-02   3.9272045596061290E+01  -4.5289552830271296E-01
                14   2.18750000E-01   1.56250000E-02               17  -3.7746139493544106E-04  -4.8860386933276612E-01  -5.5228921262483910E-02  -5.5228921262483910E-02   3.9272824490486336E+01  -4.8860386933276612E-01
                15   2.34375000E-01   1.56250000E-02               17  -3.8478094767846471E-04  -5.1860027809719123E-01  -6.7241877003638789E-02  -6.7241877003638789E-02   3.9273783145246448E+01  -5.1860027809719123E-01
                16   2.50000000E-01   1.56250000E-02               17  -3.7148575894718761E-04  -5.4282473648828633E-01  -8.0293504123775089E-02  -8.0293504123775089E-02   3.9274938688351888E+01  -5.4282473648828633E-01
                17   2.65625000E-01   1.56250000E-02               17  -3.3737481028817129E-04  -5.6156304803646684E-01  -9.4295380803257334E-02  -9.4295380803257334E-02   3.9276306823312972E+01  -5.6156304803646684E-01
                18   2.81250000E-01   1.56250000E-02               17  -2.8441340106621915E-04  -5.7542055575453155E-01  -1.0917966902464155E-01  -1.0917966902464155E-01   3.9277902030269395E+01  -5.7542055575453155E-01
                19   2.96875000E-01   1.56250000E-02               17  -2.1645457324681594E-04  -5.8528826125869315E-01  -1.2491435308465615E-01  -1.2491435308465615E-01   3.9279738008931865E+01  -5.8528826125869315E-01
                20   3.12500000E-01   1.56250000E-02               17  -1.3848543771821653E-04  -5.9227689444649911E-01  -1.4151455063021023E-01  -1.4151455063021023E-01   3.9281828334389772E+01  -5.9227689444649911E-01
                21   3.28125000E-01   1.56250000E-02               17  -5.5536372645548227E-05  -5.9761493081937767E-01  -1.5904625285730700E-01  -1.5904625285730700E-01   3.9284187233955016E+01  -5.9761493081937767E-01
                22   3.43750000E-01   1.56250000E-02               17   2.8503077617259009E-05  -6.0252721233986328E-01  -1.7762112379608713E-01  -1.7762112379608713E-01   3.9286830352439523E+01  -6.0252721233986328E-01
                23   3.59375000E-01   1.56250000E-02               17   1.1193671209253075E-04  -6.0811908422510230E-01  -1.9738359002066952E-01  -1.9738359002066952E-01   3.9289775372897140E+01  -6.0811908422510230E-01
                24   3.75000000E-01   1.56250000E-02               17   1.9604167765763236E-04  -6.1528556545617041E-01  -2.1849294180089052E-01  -2.1849294180089052E-01   3.9293042392705672E+01  -6.1528556545617041E-01
                25   3.90625000E-01   1.56250000E-02               17   2.8548468215405798E-04  -6.2465317769822182E-01  -2.4110319344446207E-01  -2.4110319344446207E-01   3.9296653999233037E+01  -6.2465317769822182E-01
                26   4.06250000E-01   1.56250000E-02               17   3.8826393291979677E-04  -6.3655212065216693E-01  -2.6534269099233088E-01  -2.6534269099233088E-01   3.9300635026692248E+01  -6.3655212065216693E-01
                27   4.21875000E-01   1.56250000E-02               17   5.1503289979026867E-04  -6.5101275568830319E-01  -2.9129485841585445E-01  -2.9129485841585445E-01   3.9305012001503080E+01  -6.5101275568830319E-01
                28   4.37500000E-01   1.56250000E-02               17   6.7770188115257035E-04  -6.6778183489741494E-01  -3.1898150175808349E-01  -3.1898150175808349E-01   3.9309812304632104E+01  -6.6778183489741494E-01
                29   4.53125000E-01   1.56250000E-02               17   8.8736340609396613E-04  -6.8635678589876292E-01  -3.4835050669974277E-01  -3.4835050669974277E-01   3.9315063104678117E+01  -6.8635678589876292E-01
                30   4.68750000E-01   1.56250000E-02               17   1.1517970721517390E-03  -7.0603739341467309E-01  -3.7926996664599033E-01  -3.7926996664599033E-01   3.9320790146377071E+01  -7.0603739341467309E-01
                31   4.84375000E-01   1.56250000E-02               17   1.4729808571118941E-03  -7.2599258371968167E-01  -4.1153032130403622E-01  -4.1153032130403622E-01   3.9327016508436571E+01  -7.2599258371968167E-01
                32   5.00000000E-01   1.56250000E-02               17   1.8450967496641546E-03  -7.4533704448923466E-01  -4.4485497634810245E-01  -4.4485497634810245E-01   3.9333761461271592E+01  -7.4533704448923466E-01
                33   5.15625000E-01   1.56250000E-02               17   2.2534576000303730E-03  -7.6321008249238798E-01  -4.7891851015443820E-01  -4.7891851015443820E-01   3.9341039551911123E+01  -7.6321008249238798E-01
