% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   6.25000000E-02               17   6.0107286271850087E-02   3.5680006313723589E-06   0.0000000000000000E+00   0.0000000000000000E+00   1.8057090634153259E+06   3.5680006313723589E-06
                 1   6.25000000E-02   6.25000000E-02               17   6.0105796626322483E-02  -5.0419655225478227E-02  -2.8619555273251237E-04  -2.8619555273251237E-04   1.8057090634189879E+06  -5.0419655225478227E-02
                 2   1.25000000E-01   6.25000000E-02               17   6.0075417508410750E-02  -1.7351901254995380E-01  -3.8126736155994004E-03  -3.8126736155994004E-03   1.8057090635168429E+06  -1.7351901254995380E-01
                 3   1.87500000E-01   6.25000000E-02               17   5.9878655811709425E-02  -3.3119710839884015E-01  -1.5828084465105505E-02  -1.5828084465105505E-02   1.8057090640734031E+06  -3.3119710839884015E-01
                 4   2.50000000E-01   6.25000000E-02               17   5.9132059001754056E-02  -4.9312269831783334E-01  -4.0451471346384660E-02  -4.0451471346384660E-02   1.8057090657598819E+06  -4.9312269831783334E-01
                 5   3.12500000E-01   6.25000000E-02               17   5.7033172484454185E-02  -6.4240448131304140E-01  -7.9398747232599251E-02  -7.9398747232599251E-02   1.8057090694295606E+06  -6.4240448131304140E-01
                 6   3.75000000E-01   6.25000000E-02               17   5.2544021365991782E-02  -7.7504892517287394E-01  -1.3283309215609274E-01  -1.3283309215609274E-01   1.8057090759873211E+06  -7.7504892517287394E-01
                 7   4.37500000E-01   6.25000000E-02               17   4.4695871651844646E-02  -8.9486963561918609E-01  -2.0072301702273751E-01  -2.0072301702273751E-01   1.8057090863360220E+06  -8.9486963561918609E-01
                 8   5.00000000E-01   6.25000000E-02               17   3.2739161874729479E-02  -1.0090153342452624E+00  -2.8378556275647887E-01  -2.8378556275647887E-01   1.8057091013966305E+06  -1.0090153342452624E+00
                 9   5.62500000E-01   6.25000000E-02               17   1.6145240053400612E-02  -1.1244477303117231E+00  -3.8357778104932855E-01  -3.8357778104932855E-01   1.8057091221645013E+06  -1.1244477303117231E+00
                10   6.25000000E-01   6.25000000E-02               17  -5.3148942352747915E-03  -1.2457633339168750E+00  -5.0183337425850916E-01  -5.0183337425850916E-01   1.8057091497402107E+06  -1.2457633339168750E+00
                11   6.87500000E-01   6.25000000E-02               17  -3.1438841804334199E-02  -1.3757823422153057E+00  -6.4011162077071082E-01  -6.4011162077071082E-01   1.8057091853305323E+06  -1.3757823422153057E+00
                12   7.50000000E-01   6.25000000E-02               17  -6.1330044332304143E-02  -1.5151433179461531E+00  -7.9900135907316283E-01  -7.9900135907316283E-01   1.8057092302151243E+06  -1.5151433179461531E+00
                13   8.12500000E-01   6.25000000E-02               17  -9.3168485931611270E-02  -1.6616266961035262E+00  -9.7695617453401429E-01  -9.7695617453401429E-01   1.8057092856490905E+06  -1.6616266961035262E+00
                14   8.75000000E-01   6.25000000E-02               17  -1.2417145529001887E-01  -1.8121413754167393E+00  -1.1706362498419645E+00  -1.1706362498419645E+00   1.8057093527296940E+06  -1.8121413754167393E+00
                15   9.37500000E-01   6.25000000E-02               17  -1.5109932016245861E-01  -1.9627346424263377E+00  -1.3746569837550147E+00  -1.3746569837550147E+00   1.8057094322928840E+06  -1.9627346424263377E+00
