% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   2.50000000E-01               17   6.0006243814411810E-02  -1.8133756832304330E-07   0.0000000000000000E+00   0.0000000000000000E+00   1.8057087883321345E+06  -1.8133756832304330E-07
                 1   2.50000000E-01   2.50000000E-01               17   5.8977336153575394E-02  -4.9275358944971598E-01  -4.0421192884548346E-02  -4.0421192884548346E-02   1.8057087906067541E+06  -4.9275358944971598E-01
                 2   5.00000000E-01   2.50000000E-01               17   3.2481986921393112E-02  -1.0091083764968238E+00  -2.8381173088973327E-01  -2.8381173088973327E-01   1.8057088258227466E+06  -1.0091083764968238E+00
                 3   7.50000000E-01   2.50000000E-01               17  -6.1526032406157907E-02  -1.5138271913878572E+00  -7.9830730795843541E-01  -7.9830730795843541E-01   1.8057089525737374E+06  -1.5138271913878572E+00
                 4   1.00000000E+00   2.50000000E-01               17  -1.7107556323203618E-01  -2.1042156746210612E+00  -1.5781617559657877E+00  -1.5781617559657877E+00   1.8057092426280086E+06  -2.1042156746210612E+00
                 5   1.25000000E+00   2.50000000E-01               17  -1.9092192744380873E-01  -2.3779567248769542E+00  -2.0900010277238832E+00  -2.0900010277238832E+00   1.8057097112117135E+06  -2.3779567248769542E+00
                 6   1.50000000E+00   2.50000000E-01               17  -1.3999617870078560E-01  -1.8752670005789924E+00  -1.5822565317385382E+00  -1.5822565317385382E+00   1.8057101893484215E+06  -1.8752670005789924E+00
                 7   1.75000000E+00   2.50000000E-01               17  -4.3606810013457190E-02  -5.5709164607138928E-01  -3.1989246864255383E-01  -3.1989246864255383E-01   1.8057104274961879E+06  -5.5709164607138928E-01
                 8   2.00000000E+00  -1.00000000E+00               -1   4.4273661766846446E-02   1.3214367655479315E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8057104224009621E+06   1.3214367655479315E+00
