% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.25000000E-01               17   2.9976021664879227E-15   6.6613381477509392E-16   0.0000000000000000E+00   0.0000000000000000E+00   3.9269908245428866E+01   6.6613381477509392E-16
                 1   1.25000000E-01   1.25000000E-01               17  -6.6292304978787797E-11   3.3803182475367066E-11  -2.0914672630827514E-04  -2.0914672630827514E-04   3.9269914066385830E+01   3.3803182475367066E-11
                 2   2.50000000E-01   1.25000000E-01               17  -8.0732864837784746E-11   1.2369993918071032E-10  -1.0936161112815278E-03  -1.0936161112815278E-03   3.9269990337684852E+01   1.2369993918071032E-10
                 3   3.75000000E-01   1.25000000E-01               17  -5.9422755604998656E-10   1.6477197384290321E-10  -3.4578975639526777E-03  -3.4578975639526777E-03   3.9270268551659555E+01   1.6477197384290321E-10
                 4   5.00000000E-01   1.25000000E-01               17   7.6775696911113300E-11   2.5458968266889315E-11  -5.9173313441208408E-03  -5.9173313441208408E-03   3.9270826513544613E+01   2.5458968266889315E-11
                 5   6.25000000E-01   1.25000000E-01               17   8.7718721175633618E-12  -5.4740012522813686E-10  -8.1197481147235878E-03  -8.1197481147235878E-03   3.9271753011660323E+01  -5.4740012522813686E-10
                 6   7.50000000E-01   1.25000000E-01               17   1.2889778133740037E-10  -4.0284597879747253E-10  -1.0459615234325939E-02  -1.0459615234325939E-02   3.9272898815448002E+01  -4.0284597879747253E-10
                 7   8.75000000E-01   1.25000000E-01               17   5.2558490892806731E-10  -1.0796767924148298E-09  -9.3984144574438544E-03  -9.3984144574438544E-03   3.9274147648262606E+01  -1.0796767924148298E-09
                 8   1.00000000E+00   1.25000000E-01               17   5.5031890155987639E-10   3.9222780578995753E-10  -8.5896586102728323E-03  -8.5896586102728323E-03   3.9275328648329236E+01   3.9222780578995753E-10
                 9   1.12500000E+00   1.25000000E-01               17  -1.9377954796340191E-10  -1.4198775488694082E-10  -5.1706300322172105E-03  -5.1706300322172105E-03   3.9276149612968474E+01  -1.4198775488694082E-10
                10   1.25000000E+00   1.25000000E-01               17   1.1173340030978807E-10   1.0910747860748415E-09  -7.9317889609481496E-04  -7.9317889609481496E-04   3.9276584548132028E+01   1.0910747860748415E-09
                11   1.37500000E+00   1.25000000E-01               17   2.0198265282544980E-10  -1.1633582985837165E-09   3.6661958395098615E-03   3.6661958395098615E-03   3.9276368348632957E+01  -1.1633582985837165E-09
                12   1.50000000E+00   1.25000000E-01               17  -2.3966639783878918E-10  -4.3755754575158790E-10   9.1944448625652375E-03   9.1944448625652375E-03   3.9275587037758484E+01  -4.3755754575158790E-10
                13   1.62500000E+00   1.25000000E-01               17  -2.8868996082564991E-10  -1.8370243104470774E-09   1.2656660846418755E-02   1.2656660846418755E-02   3.9274183873839590E+01  -1.8370243104470774E-09
                14   1.75000000E+00   1.25000000E-01               17  -3.4487757094581184E-10  -2.7286617410027247E-11   1.4562009829141853E-02   1.4562009829141853E-02   3.9272460295892813E+01  -2.7286617410027247E-11
                15   1.87500000E+00   1.25000000E-01               17  -8.2405815504671409E-10  -2.1117538828718807E-09   1.1087085473632491E-02   1.1087085473632491E-02   3.9270785663012298E+01  -2.1117538828718807E-09
                16   2.00000000E+00  -1.00000000E+00               -1  -4.6550907573106315E-10   3.0845015430713829E-10   0.0000000000000000E+00   0.0000000000000000E+00   3.9269990966241807E+01   3.0845015430713829E-10
