#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 0 0 -2.87473722872743e-12
0.002 0 0 -4.98497287827922e-11
0.003 0 0 -2.70764941826158e-10
0.004 0 0 -9.10432325015864e-10
0.005 0 0 -2.348018367411e-09
0.006 0 0 -5.11220386856248e-09
0.007 0 0 -9.89251427345808e-09
0.008 0 0 -1.7547197752113e-08
0.009 0 0 -2.91080110664766e-08
0.01 0 0 -4.57822554502524e-08
0.011 0 0 -6.89523863785148e-08
0.012 0 0 -1.00173502463104e-07
0.013 0 0 -1.41168999861357e-07
0.014 0 0 -1.93824659842912e-07
0.015 0 0 -2.60181418404795e-07
0.016 0 0 -3.42427048507198e-07
0.017 0 0 -4.4288696734486e-07
0.018 0 0 -5.64014363445969e-07
0.019 0 0 -7.08379821455843e-07
0.02 -1.77635683940025e-15 3.5527136788005e-15 -8.78660605683167e-07
0.021 -1.77635683940025e-15 3.5527136788005e-15 -1.07762974788767e-06
0.022 -5.32907051820075e-15 0 -1.3081450693439e-06
0.023 -3.5527136788005e-15 0 -1.573138253001e-06
0.024 0 0 -1.87560406758689e-06
0.025 0 0 -2.21858983266189e-06
0.026 0 -3.5527136788005e-15 -2.60518520147149e-06
0.027 -1.77635683940025e-15 0 -3.03851232675775e-06
0.028 -1.77635683940025e-15 0 -3.52171646436118e-06
0.029 -1.77635683940025e-15 -3.5527136788005e-15 -4.05795705940007e-06
0.03 -3.5527136788005e-15 0 -4.65039935034243e-06
0.031 0 3.5527136788005e-15 -5.30220651854749e-06
0.032 0 0 -6.01653240256145e-06
0.033 0 0 -6.79651478964483e-06
0.034 3.5527136788005e-15 0 -7.64526929062075e-06
0.035 0 0 -8.56588379877926e-06
0.036 1.77635683940025e-15 0 -9.5614135277311e-06
0.037 0 0 -1.06348766195849e-05
0.038 -1.77635683940025e-15 3.5527136788005e-15 -1.1789250309994e-05
0.039 -1.77635683940025e-15 3.5527136788005e-15 -1.30274676336684e-05
0.04 0 7.105427357601e-15 -1.43524146512964e-05
0.041 0 0 -1.57669281755229e-05
0.042 0 3.5527136788005e-15 -1.72737939721761e-05
0.043 0 0 -1.88757454118692e-05
0.044 0 0 -2.05754625443103e-05
0.045 0 0 -2.23755715681815e-05
0.046 1.77635683940025e-15 0 -2.42786446682519e-05
0.047 -3.5527136788005e-15 0 -2.628720019115e-05
0.048 -1.77635683940025e-15 3.5527136788005e-15 -2.84037031307947e-05
0.049 0 3.5527136788005e-15 -3.06305658955511e-05
0.05 1.77635683940025e-15 0 -3.29701493284179e-05
0.051 -3.5527136788005e-15 0 -3.54247639532436e-05
0.052 0 0 -3.79966714194463e-05
0.053 0 0 -4.0688086119952e-05
0.054 1.77635683940025e-15 0 -4.35011769565827e-05
0.055 3.5527136788005e-15 3.5527136788005e-15 -4.6438069229722e-05
0.056 0 0 -4.95008466282545e-05
0.057 1.77635683940025e-15 3.5527136788005e-15 -5.26915532995144e-05
0.058 5.32907051820075e-15 3.5527136788005e-15 -5.60121959774645e-05
0.059 0 0 -5.94647461516547e-05
0.06 0 3.5527136788005e-15 -6.3051142257315e-05
0.061 0 0 -6.67732918713596e-05
0.062 3.5527136788005e-15 3.5527136788005e-15 -7.06330738992553e-05
0.063 0 0 -7.4632340737445e-05
0.064 -1.77635683940025e-15 3.5527136788005e-15 -7.87729204015635e-05
0.065 3.5527136788005e-15 3.5527136788005e-15 -8.30566186056023e-05
0.066 1.77635683940025e-15 3.5527136788005e-15 -8.74852207853744e-05
0.067 -1.77635683940025e-15 0 -9.20604940551732e-05
0.068 1.77635683940025e-15 7.105427357601e-15 -9.67841890910474e-05
0.069 -1.77635683940025e-15 -3.5527136788005e-15 -0.000101658041933739
0.07 0 0 -0.000106683775706162
0.071 -1.77635683940025e-15 3.5527136788005e-15 -0.000111863102240241
0.0720000000000001 0 -3.5527136788005e-15 -0.000117197723610518
0.0730000000000001 -3.5527136788005e-15 0 -0.000122689333570732
0.0740000000000001 -5.32907051820075e-15 -3.5527136788005e-15 -0.000128339618893292
0.0750000000000001 0 0 -0.000134150260608246
0.0760000000000001 -5.32907051820075e-15 0 -0.000140122935143126
0.0770000000000001 0 0 -0.000146259315364945
0.0780000000000001 0 -3.5527136788005e-15 -0.000152561071522044
0.0790000000000001 1.77635683940025e-15 0 -0.000159029872090103
0.0800000000000001 -1.77635683940025e-15 0 -0.000165667384524067
0.0810000000000001 -1.77635683940025e-15 0 -0.000172475275917329
0.0820000000000001 1.77635683940025e-15 0 -0.000179455213571159
0.0830000000000001 -3.5527136788005e-15 -3.5527136788005e-15 -0.000186608865478746
0.0840000000000001 -1.77635683940025e-15 0 -0.000193937900725763
0.0850000000000001 0 0 -0.000201443989813144
0.0860000000000001 1.77635683940025e-15 0 -0.000209128804903237
0.0870000000000001 1.77635683940025e-15 0 -0.00021699401999626
0.0880000000000001 1.77635683940025e-15 3.5527136788005e-15 -0.000225041311039117
0.0890000000000001 0 0 -0.000233272355972876
0.0900000000000001 0 0 -0.00024168883472114
0.0910000000000001 0 -3.5527136788005e-15 -0.000250292429124874
0.0920000000000001 1.77635683940025e-15 0 -0.000259084822828305
0.0930000000000001 0 0 -0.000268067701120075
0.0940000000000001 3.5527136788005e-15 0 -0.000277242750732626
0.0950000000000001 -1.77635683940025e-15 0 -0.000286611659606306
0.0960000000000001 -1.77635683940025e-15 -3.5527136788005e-15 -0.000296176116620972
0.0970000000000001 -3.5527136788005e-15 0 -0.000305937811298215
0.0980000000000001 -1.77635683940025e-15 -3.5527136788005e-15 -0.000315898433480843
0.0990000000000001 -3.5527136788005e-15 0 -0.000326059672990126
0.1 0 0 -0.000336423219267447
0.101 -1.77635683940025e-15 -3.5527136788005e-15 -0.00034699076100074
0.102 0 -3.5527136788005e-15 -0.000357763985742415
0.103 -3.5527136788005e-15 -3.5527136788005e-15 -0.000368744579517161
0.104 0 0 -0.000379934226429915
0.105 0 0 -0.000391334608266819
0.106 -3.5527136788005e-15 -3.5527136788005e-15 -0.000402947404101919
0.107 0 0 -0.000414774289904059
0.108 1.77635683940025e-15 -3.5527136788005e-15 -0.000426816938150103
0.109 0 -3.5527136788005e-15 -0.000439077017446658
0.11 3.5527136788005e-15 -7.105427357601e-15 -0.000451556192159051
0.111 1.77635683940025e-15 -7.105427357601e-15 -0.00046425612205396
0.112 3.5527136788005e-15 -3.5527136788005e-15 -0.000477178461952048
0.113 3.5527136788005e-15 -7.105427357601e-15 -0.000490324861395476
0.114 1.77635683940025e-15 -3.5527136788005e-15 -0.000503696964330544
0.115 7.105427357601e-15 -7.105427357601e-15 -0.000517296407363935
0.116 0 -1.06581410364015e-14 -0.000531124823946912
0.117 5.32907051820075e-15 -3.5527136788005e-15 -0.000545183839488247
0.118 3.5527136788005e-15 -3.5527136788005e-15 -0.000559475072695916
0.119 5.32907051820075e-15 -7.105427357601e-15 -0.000574000135345726
0.12 5.32907051820075e-15 0 -0.000588760632067982
0.121 5.32907051820075e-15 -3.5527136788005e-15 -0.000603758160155392
0.122 -1.77635683940025e-15 0 -0.00061899430938632
0.123 3.5527136788005e-15 0 -0.000634470661870785
0.124 3.5527136788005e-15 -3.5527136788005e-15 -0.000650188791912309
0.125 -1.77635683940025e-15 0 -0.000666150265890994
0.126 5.32907051820075e-15 -3.5527136788005e-15 -0.000682356642161867
0.127 3.5527136788005e-15 0 -0.000698809470975441
0.128 1.77635683940025e-15 -3.5527136788005e-15 -0.000715510294411428
0.129 1.77635683940025e-15 0 -0.000732460646332554
0.13 0 -3.5527136788005e-15 -0.000749662052355278
0.131 3.5527136788005e-15 -3.5527136788005e-15 -0.000767116029833939
0.132 -1.77635683940025e-15 0 -0.000784824087863276
0.133 1.77635683940025e-15 -3.5527136788005e-15 -0.000802787727293974
0.134 0 0 -0.00082100844076366
0.135 0 0 -0.000839487712740034
0.136 1.77635683940025e-15 3.5527136788005e-15 -0.00085822701957855
0.137 1.77635683940025e-15 3.5527136788005e-15 -0.000877227829590085
0.138 1.77635683940025e-15 7.105427357601e-15 -0.000896491603123412
0.139 3.5527136788005e-15 0 -0.000916019792652698
0.14 0 7.105427357601e-15 -0.00093581384288198
0.141 -1.77635683940025e-15 0 -0.000955875190853314
0.142 0 3.5527136788005e-15 -0.000976205266065427
0.143 0 3.5527136788005e-15 -0.000996805490601299
0.144 1.77635683940025e-15 0 -0.00101767727926035
0.145 -3.5527136788005e-15 7.105427357601e-15 -0.00103882203969916
0.146 1.77635683940025e-15 7.105427357601e-15 -0.00106024117257819
0.147 -1.77635683940025e-15 3.5527136788005e-15 -0.00108193607171125
0.148 -1.77635683940025e-15 7.105427357601e-15 -0.00110390812422155
0.149 0 3.5527136788005e-15 -0.00112615871070192
0.15 -7.105427357601e-15 7.105427357601e-15 -0.00114868920537516
0.151 -3.5527136788005e-15 3.5527136788005e-15 -0.00117150097626309
0.152 -1.77635683940025e-15 0 -0.00119459538535152
0.153 -1.77635683940025e-15 0 -0.00121797378876126
0.154 -1.77635683940025e-15 3.5527136788005e-15 -0.00124163753691892
0.155 1.77635683940025e-15 0 -0.00126558797472734
0.156 1.77635683940025e-15 0 -0.00128982644174028
0.157 -1.77635683940025e-15 7.105427357601e-15 -0.00131435427233192
0.158 5.32907051820075e-15 0 -0.00133917279587061
0.159 3.5527136788005e-15 0 -0.00136428333688919
0.16 1.77635683940025e-15 0 -0.00138968721525524
0.161 3.5527136788005e-15 3.5527136788005e-15 -0.0014153857463408
0.162 1.77635683940025e-15 3.5527136788005e-15 -0.00144138024118808
0.163 1.77635683940025e-15 7.105427357601e-15 -0.00146767200667673
0.164 -1.77635683940025e-15 3.5527136788005e-15 -0.00149426234568625
0.165 1.77635683940025e-15 3.5527136788005e-15 -0.00152115255725874
