#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 -6.16284662191546e-11 -4.95072698036836e-06 -7.42237741673544e-12
0.002 -2.64808078243028e-10 -2.85931571717413e-05 -1.71387384061768e-10
0.003 -4.9779583233267e-10 -8.07233391082463e-05 -1.08813043032388e-09
0.004 -6.98873597881899e-10 -0.000166259293621351 -3.98224260094197e-09
0.005 -8.41141184482197e-10 -0.000285818603376953 -1.06914021324274e-08
0.006 -9.20124448855475e-10 -0.000437046479518699 -2.35297083644483e-08
0.007 -9.44296238425402e-10 -0.000616227396202262 -4.51341891230875e-08
0.008 -9.2834029352673e-10 -0.000819742732737438 -7.8380521133627e-08
0.009 -8.88672496701659e-10 -0.00104507035606893 -1.26404656045466e-07
0.01 -8.40477437646925e-10 -0.00129120440528219 -1.92712257488219e-07
0.011 -7.96030824590233e-10 -0.00155854733365324 -2.81320521182057e-07
0.012 -7.63838839401565e-10 -0.00184844787758287 -3.96869153108156e-07
0.013 -7.48396969396659e-10 -0.00216260715795613 -5.44657478597065e-07
0.014 -7.50518591718929e-10 -0.00250255353549989 -7.30600484260407e-07
0.015 -7.68044849941418e-10 -0.00286931635499599 -9.61131312787744e-07
0.016 -7.96846644224303e-10 -0.00326333933587009 -1.24309732653545e-06
0.017 -8.31899701903005e-10 -0.00368459491214779 -1.583695083315e-06
0.018 -8.68296823330894e-10 -0.00413281123413078 -1.99046934345071e-06
0.019 -9.01997670998966e-10 -0.004607711192115 -2.47137239223205e-06
0.02 -9.30265475762582e-10 -0.00510918304166808 -3.03485472675016e-06
0.021 -9.51783402092232e-10 -0.00563734206106759 -3.68994620477715e-06
0.022 -9.66419749781622e-10 -0.00619248627894287 -4.44629184308959e-06
0.023 -9.74853045510038e-10 -0.00677498295857326 -5.31412556438113e-06
0.024 -9.78117711825099e-10 -0.00738513815160324 -6.30419025062813e-06
0.025 -9.77203928886894e-10 -0.00802309802909384 -7.42763372224738e-06
0.026 -9.72820199396374e-10 -0.0086888125341531 -8.69591998280822e-06
0.027 -9.6529741144824e-10 -0.00938206726589108 -1.01207901327567e-05
0.028 -9.54650899998022e-10 -0.0101025669270882 -1.17142900443699e-05
0.029 -9.40717337361008e-10 -0.0108500395687461 -1.34888587046966e-05
0.03 -9.2337915091889e-10 -0.0116243280793231 -1.54574502634723e-05
0.031 -9.02675045821866e-10 -0.0124254429580635 -1.7633651245668e-05
0.032 -8.78973199780475e-10 -0.0132535645936347 -2.00317556123715e-05
0.033 -8.52941967055543e-10 -0.0141089989721621 -2.26667734989812e-05
0.034 -8.25511797808431e-10 -0.014992103269762 -2.55543698495821e-05
0.035 -7.97819477149631e-10 -0.0159032040892413 -2.87107501074878e-05
0.036 -7.71095687301937e-10 -0.0168425303481783 -3.21525251749145e-05
0.037 -7.46499639880938e-10 -0.0178101762713538 -3.58965928292238e-05
0.038 -7.25122156763902e-10 -0.0188061002308118 -3.99600668510372e-05
