#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 -3.69206520911547e-09 -7.31108223099852e-05 -3.64172784152693e-10
0.002 -2.04458550090436e-09 -0.000231184742320423 -4.5530087487743e-09
0.003 5.38462525678796e-08 -0.000437328632390432 -1.91178184839468e-08
0.004 1.91348379696699e-07 -0.000682182090670835 -5.227914825893e-08
0.005 4.00114820942044e-07 -0.000962382074344958 -1.13653433997981e-07
0.006 6.53584755538894e-07 -0.00127624676863114 -2.14129599973665e-07
0.007 9.24171565608312e-07 -0.00162269394323999 -3.65767907930603e-07
0.008 1.18906517154738e-06 -0.00200091342601105 -5.81715043330685e-07
0.009 1.43148216824596e-06 -0.00241025004901374 -8.7613373500107e-07
0.01 1.64040050842917e-06 -0.00285015393179222 -1.26414477041609e-06
0.011 1.80977309272023e-06 -0.00332015464841007 -1.76177900689141e-06
0.012 1.93760102740193e-06 -0.00381984493954945 -2.38593725524925e-06
0.013 2.02501407153832e-06 -0.0043488689088278 -3.15435628789372e-06
0.014 2.07542204477829e-06 -0.00490691278781341 -4.08557959021699e-06
0.015 2.09376622728463e-06 -0.0054936974674753 -5.19893178865458e-06
0.016 2.08588226380257e-06 -0.00610897239903885 -6.51449594276342e-06
0.017 2.05797584940104e-06 -0.00675251061990956 -8.05309308862974e-06
0.018 2.01620560491556e-06 -0.0074241047207444 -9.83626357432561e-06
0.019 1.9663642140122e-06 -0.00812356359908861 -1.18862498447465e-05
0.02 1.91364642132541e-06 -0.00885070986304903 -1.42259804194935e-05
0.021 1.86249197087207e-06 -0.0096053777651548 -1.68790548714494e-05
0.022 1.81649159192165e-06 -0.0103874115612772 -1.9869729659415e-05
0.023 1.77834482317785e-06 -0.0111966642056665 -2.32229047017994e-05
0.024 1.74985930045946e-06 -0.012032996307159 -2.69641106014819e-05
0.025 1.73198263553331e-06 -0.0128962752869448 -3.11194964514819e-05
0.026 1.72485840033154e-06 -0.0137863746836278 -3.5715818152586e-05
0.027 1.7278994943748e-06 -0.0147031735764305 -4.07804272051608e-05
0.028 1.73987343354831e-06 -0.0156465560914025 -4.63412599229236e-05
0.029 1.75899525589607e-06 -0.01661641096719 -5.24268270275709e-05
0.03 1.78302190501078e-06 -0.0176126311635354 -5.90662035771083e-05
0.031 1.80934603155603e-06 -0.0186351135149323 -6.62890192398187e-05
0.032 1.83508924644915e-06 -0.0196837584043124 -7.41254488456633e-05
0.033 1.8571894752073e-06 -0.0207584694575456 -8.26062031969756e-05
0.034 1.87248221350522e-06 -0.0218591532571999 -9.17625201242028e-05
0.035 1.87777461946315e-06 -0.0229857190725919 -0.000101626155763829
0.036 1.8699119674892e-06 -0.0241380786047838 -0.000112229376039923
0.037 1.84583585660647e-06 -0.0253161457460749 -0.000123604948333095
0.038 1.80263514071299e-06 -0.0265198363536356 -0.000135786133324003
0.039 1.73758565380489e-06 -0.0277490680371848 -0.000148806676991329
0.04 1.64818499492903e-06 -0.0290037599606237 -0.000162700802760575
0.041 1.53217945086936e-06 -0.0302838326575952 -0.000177503203790775
0.042 1.3875825392029e-06 -0.031589207860744 -0.000193249035385583
0.043 1.21268728869861e-06 -0.0329198083445146 -0.000209973907522483
0.044 1.00607261244168e-06 -0.0342755577809726 -0.000227713877492014
0.045 7.66604101309909e-07 -0.0356563806084758 -0.000246505442638545
0.046 4.93430137971096e-07 -0.0370622019126259 -0.000266385533197529
0.047 1.85945041142332e-07 -0.0384929473186713 -0.000287391505306156
0.048 -1.56371329662619e-07 -0.0399485428804027 -0.000309561134585898
0.049 -5.33172410110971e-07 -0.0414289150443832 -0.000332932606474455
0.05 -9.44420849413596e-07 -0.0429339905141859 -0.000357544513222535
0.051 -1.38977691821474e-06 -0.0444636962177878 -0.00038343584513556
0.052 -1.86868393980966e-06 -0.0460179592428211 -0.000410645984053756
0.053 -2.38040712230436e-06 -0.0475967067852991 -0.000439214696765833
0.054 -2.92406058044481e-06 -0.049199866106628 -0.000469182128445204
0.055 -3.4986307696494e-06 -0.0508273644966746 -0.000500588796128444
0.056 -4.10299859054941e-06 -0.0524791292422293 -0.000533475582240213
0.057 -4.7359605044317e-06 -0.054155087599522 -0.000567883728160981
0.058 -5.39624879147826e-06 -0.0558551667701028 -0.000603854827833657
0.059 -6.08255073797359e-06 -0.0575792938788737 -0.000641430821402014
0.06 -6.79352657007026e-06 -0.0593273959533676 -0.000680653988875256
0.061 -7.52786729529831e-06 -0.0610993999229308 -0.000721566943408816
0.062 -8.28417336995457e-06 -0.0628952325412335 -0.000764212626349237
0.063 -9.06111778897767e-06 -0.0647148204075751 -0.000808634299379635
0.064 -9.85741081793723e-06 -0.0665580899361391 -0.000854875538746497
0.065 -1.06718022276908e-05 -0.0684249673185242 -0.000902980228946443
0.066 -1.15030918017567e-05 -0.0703153784853185 -0.000952992556307111
0.067 -1.23501382728319e-05 -0.0722292490614098 -0.00100495700250809
0.068 -1.321186645864e-05 -0.0741665043133111 -0.00105891833802366
0.069 -1.40872728908725e-05 -0.0761270690872777 -0.00111492161546445
0.07 -1.49754301908001e-05 -0.078110867737248 -0.00117301216279408
0.071 -1.58754903407665e-05 -0.0801178240415759 -0.00123323557639646
0.0720000000000001 -1.67866870298683e-05 -0.0821478611078064 -0.00129563771396871
0.0730000000000001 -1.77083369756748e-05 -0.0842009012645768 -0.00136026468721177
0.0740000000000001 -1.86398406223365e-05 -0.0862768659400928 -0.00142716285429284
0.0750000000000001 -1.95806820898481e-05 -0.0883756755265335 -0.00149637881204839
0.0760000000000001 -2.0530428575749e-05 -0.0904972492298803 -0.0015679593878999
0.0770000000000001 -2.14887292897536e-05 -0.0926415049050107 -0.001641951631452
0.0780000000000001 -2.24553140140138e-05 -0.094808358875726 -0.00171840280574111
0.0790000000000001 -2.34299913589586e-05 -0.096997725739719 -0.00179736037810681
0.0800000000000001 -2.44126467550121e-05 -0.0992095181586539 -0.00187887201065325
0.0810000000000001 -2.54032403943505e-05 -0.101443646633465 -0.00196298555027212
0.0820000000000001 -2.64018049670467e-05 -0.103700019265279 -0.00204974901819821
0.0830000000000001 -2.74084434066513e-05 -0.105978541502672 -0.00213921059906978
0.0840000000000001 -2.84233266504286e-05 -0.108279115875616 -0.00223141862946766
0.0850000000000001 -2.94466913647318e-05 -0.11060164171718 -0.00232642158590722
0.0860000000000001 -3.04788377989418e-05 -0.11294601487371 -0.00242426807226198
