#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 1.2890593126258e-07 6.83893830455418e-10 -6.34031044236227e-12
0.002 4.29008295554922e-07 3.54943807678865e-09 -7.85950448027194e-11
0.003 6.78536368425853e-07 9.06512909182311e-09 -3.37953939792956e-10
0.004 8.78608380716628e-07 1.69192198029577e-08 -9.49796149742792e-10
0.005 1.07086667888723e-06 2.69445052936135e-08 -2.11719104167883e-09
0.006 1.28676478006184e-06 3.89530363520407e-08 -4.07782515323167e-09
0.007 1.5459873203838e-06 5.27972261465948e-08 -7.10208051667594e-09
0.008 1.85909723704469e-06 6.83727634509523e-08 -1.14917191856975e-08
0.009 2.23046876968169e-06 8.56155146777837e-08 -1.7578854975451e-08
0.01 2.66027304895999e-06 1.04494986885584e-07 -2.57250786763678e-08
0.011 3.14576701931912e-06 1.25006021534091e-07 -3.63206693975815e-08
0.012 3.68216469759375e-06 1.47159834540389e-07 -4.97838583079732e-08
0.013 4.26326487179551e-06 1.70975130941997e-07 -6.65601263884772e-08
0.014 4.88192472225535e-06 1.96470441693464e-07 -8.71215255927177e-08
0.015 5.53042620587973e-06 2.23657643516617e-07 -1.1196601736865e-07
0.016 6.20076102997302e-06 2.52537020628552e-07 -1.41616825205223e-07
0.017 6.8848554075629e-06 2.83093868347351e-07 -1.76621799465059e-07
0.018 7.57474752077769e-06 3.15296475150717e-07 -2.17552793811216e-07
0.019 8.26273042697778e-06 3.49095355289819e-07 -2.65005053094063e-07
0.02 8.94146871388557e-06 3.84423401555978e-07 -3.19596612773435e-07
0.021 9.60409483674596e-06 4.21197011490904e-07 -3.81967709990301e-07
0.022 1.02442889637899e-05 4.5931770387142e-07 -4.52780206271295e-07
0.023 1.08563441436615e-05 4.98674328497373e-07 -5.32717021735959e-07
0.024 1.14352179814148e-05 5.39145403877228e-07 -6.22481580404063e-07
0.025 1.19765708852526e-05 5.80601692945493e-07 -7.22797265990949e-07
0.026 1.24767911042767e-05 6.22908796543697e-07 -8.34406887317146e-07
0.027 1.29330066904743e-05 6.65929594134695e-07 -9.58072152268657e-07
0.028 1.33430846691596e-05 7.09526567277408e-07 -1.09457314901229e-06
0.029 1.37056180662398e-05 7.53563831779047e-07 -1.24470783304355e-06
0.03 1.40199016414044e-05 7.97909038396938e-07 -1.40929151843695e-06
0.031 1.42858975316074e-05 8.42434737080566e-07 -1.58915637167188e-06
0.032 1.45041920092126e-05 8.87019655948507e-07 -1.78515090629942e-06
0.033 1.46759450494471e-05 9.31549529070708e-07 -1.99813947663425e-06
0.034 1.48028339399531e-05 9.75917622270117e-07 -2.2290017688319e-06
0.035 1.48869927549811e-05 1.02002507063048e-06 -2.47863228750944e-06
0.036 1.4930949053138e-05 1.06378085007464e-06 -2.74793983640748e-06
0.037 1.49375592002343e-05 1.10710156064897e-06 -3.03784699139109e-06
0.038 1.49099436423938e-05 1.14991108901563e-06 -3.3492895643826e-06
0.039 1.48514233480057e-05 1.19213995120049e-06 -3.6832160568807e-06
0.04 1.47654582693946e-05 1.23372470994809e-06 -4.04058710175206e-06
0.041 1.4655588863377e-05 1.27460714693939e-06 -4.42237489213255e-06
0.042 1.45253812036117e-05 1.31473344922028e-06 -4.82956259657049e-06
0.043 1.4378376294033e-05 1.35405340628836e-06 -5.26314375930495e-06
0.044 1.42180440079187e-05 1.39251947217645e-06 -5.72412168505215e-06
0.045 1.40477418995033e-05 1.43008599806649e-06 -6.2135088076086e-06
0.046 1.38706790195897e-05 1.46670839740182e-06 -6.73232604168298e-06
0.047 1.3689884857726e-05 1.50234239981728e-06 -7.28160211757329e-06
0.048 1.35081832581818e-05 1.53694334770194e-06 -7.86237289847683e-06
0.049 1.33281713665667e-05 1.57046551052531e-06 -8.47568068002534e-06
0.05 1.31522032713605e-05 1.60286154837763e-06 -9.12257347224915e-06
0.051 1.29823781911398e-05 1.6340819577465e-06 -9.80410426387312e-06
0.052 1.28205329268383e-05 1.66407459190054e-06 -1.05213302691283e-05
0.053 1.26682382965981e-05 1.69278425232733e-06 -1.12753121574646e-05
0.054 1.25267992086009e-05 1.72015228372402e-06 -1.2067113266556e-05
0.055 1.23972580485798e-05 1.74611625070042e-06 -1.28977987991739e-05
0.056 1.22804010427302e-05 1.77060958961306e-06 -1.3768435004613e-05
0.057 1.21767672300876e-05 1.79356135987518e-06 -1.46800883455596e-05
0.058 1.20866598170011e-05 1.81489593131801e-06 -1.56338246512771e-05
0.059 1.20101593026334e-05 1.83453271418443e-06 -1.66307082583757e-05
0.06 1.1947138460755e-05 1.85238593530812e-06 -1.76718011402986e-05
0.061 1.18972784690641e-05 1.86836432902737e-06 -1.87581620268301e-05
0.062 1.18600861807039e-05 1.8823709169169e-06 -1.98908455154561e-05
0.063 1.18349120565853e-05 1.89430272712343e-06 -2.10709011758473e-05
0.064 1.18209686732484e-05 1.90405054922849e-06 -2.22993726495813e-05
0.065 1.18173494332297e-05 1.91149871398011e-06 -2.35772967467074e-05
0.066 1.18230472487824e-05 1.91652481973392e-06 -2.49057025414143e-05
0.067 1.18369732149404e-05 1.91899947310503e-06 -2.62856104688344e-05
0.068 1.18579746999359e-05 1.91878616817576e-06 -2.77180314250756e-05
0.069 1.18848531087679e-05 1.91574102359482e-06 -2.92039658730398e-05
0.07 1.19163808420808e-05 1.90971269020679e-06 -3.0744402956074e-05
0.071 1.19513175196317e-05 1.90054220183811e-06 -3.23403196222476e-05
0.0720000000000001 1.1988425326237e-05 1.88806293976995e-06 -3.39926797613913e-05
0.0730000000000001 1.20264832919048e-05 1.87210061497467e-06 -3.57024333576608e-05
0.0740000000000001 1.20643005629972e-05 1.85247331785376e-06 -3.74705156600159e-05
0.0750000000000001 1.21007285489583e-05 1.82899171718987e-06 -3.92978463731406e-05
0.0760000000000001 1.21346718362503e-05 1.80145914896457e-06 -4.11853288714934e-05
0.0770000000000001 1.21650980169363e-05 1.76967200005151e-06 -4.31338494386278e-05
0.0780000000000001 1.21910462009822e-05 1.73342005993504e-06 -4.51442765346602e-05
0.0790000000000001 1.221163441123e-05 1.69248696124669e-06 -4.72174600938922e-05
0.0800000000000001 1.22260656887363e-05 1.64665076951565e-06 -4.93542308550587e-05
0.0810000000000001 1.22336330683481e-05 1.59568461910453e-06 -5.15553997266389e-05
0.0820000000000001 1.22337234333969e-05 1.53935746993739e-06 -5.38217571888107e-05
0.0830000000000001 1.2225820110956e-05 1.47743494238739e-06 -5.61540727346301e-05
0.0840000000000001 1.22095046055648e-05 1.40968026585142e-06 -5.8553094351977e-05
0.0850000000000001 1.21844571250307e-05 1.33585527706259e-06 -6.10195480482412e-05
0.0860000000000001 1.21504562251573e-05 1.25572154630049e-06 -6.3554137419191e-05
0.0870000000000001 1.21073775929403e-05 1.16904153557584e-06 -6.6157543263539e-05
0.0880000000000001 1.20551918509904e-05 1.07557986339657e-06 -6.88304232445806e-05
0.0890000000000001 1.19939617668763e-05 9.7510461927186e-07 -7.15734115999435e-05
0.0900000000000001 1.19238386400156e-05 8.67388738612362e-07 -7.43871189006207e-05
0.0910000000000001 1.1845058109472e-05 7.52211366972233e-07 -7.72721318596827e-05
0.0920000000000001 1.17579353986486e-05 6.29359377057881e-07 -8.02290131918897e-05
