#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 1.30295044892259e-09 2.46020093186416e-10 -4.4268531266757e-12
0.002 1.22951223577306e-08 1.04355279972879e-09 -6.43366576580004e-11
0.003 4.6122996345821e-08 3.06707015340635e-09 -2.99408834639366e-10
0.004 1.15007417894608e-07 7.15466974554602e-09 -8.79528568526529e-10
0.005 2.24709448860827e-07 1.40952085558865e-08 -2.01478244304205e-09
0.006 3.71782898307693e-07 2.44582700759111e-08 -3.9512973969689e-09
0.007 5.45161437957853e-07 3.85269594005422e-08 -6.96924273529249e-09
0.008 7.29897576552674e-07 5.63108351059327e-08 -1.13815432995423e-08
0.009 9.10775169803146e-07 7.76023316717556e-08 -1.75328111274632e-08
0.01 1.07478359070989e-06 1.02047076566691e-07 -2.57983642353043e-08
0.011 1.21234913673385e-06 1.29207297305811e-07 -3.65833136224182e-08
0.012 1.31760827617317e-06 1.58610236056234e-07 -5.03217206691223e-08
0.013 1.38808310787969e-06 1.89780619663793e-07 -6.74758223010189e-08
0.014 1.42405944578844e-06 2.22259698645644e-07 -8.85353139940632e-08
0.015 1.42787479227163e-06 2.55614374111701e-07 -1.14016677038933e-07
0.016 1.40323917861146e-06 2.8943999730302e-07 -1.44462536533154e-07
0.017 1.35465059072221e-06 3.23359474307949e-07 -1.80441038941711e-07
0.018 1.28692700456651e-06 3.57020917718387e-07 -2.22545241285958e-07
0.019 1.20485394489861e-06 3.90094889723969e-07 -2.71392507201693e-07
0.02 1.11293489113429e-06 4.22272227851295e-07 -3.27623907688803e-07
0.021 1.01522735914544e-06 4.53262602562177e-07 -3.9190362624e-07
0.022 9.15246764043864e-07 4.8279406072993e-07 -4.64918369105956e-07
0.023 8.15921924426921e-07 5.10613283211114e-07 -5.47376781992806e-07
0.024 7.19588150621675e-07 5.36486425062321e-07 -6.40008874441649e-07
0.025 6.28006942386683e-07 5.60200309251968e-07 -7.43565452940211e-07
0.026 5.42403151185256e-07 5.81563792678708e-07 -8.58817563294256e-07
0.027 4.63513073950539e-07 6.00409034490212e-07 -9.86555942327026e-07
0.028 3.91638498832558e-07 6.16592512159286e-07 -1.12759047846004e-06
0.029 3.26703100878012e-07 6.29995772882808e-07 -1.28274968034777e-06
0.03 2.68308755428659e-07 6.40525767536815e-07 -1.45288015230031e-06
0.031 2.15790072144451e-07 6.48114768964092e-07 -1.63884607516217e-06
0.032 1.68266158472041e-07 6.52719979399308e-07 -1.84152869105907e-06
0.033 1.24689022343305e-07 6.54322658277806e-07 -2.06182579040853e-06
0.034 8.38880409581577e-08 6.52927107935852e-07 -2.30065119969595e-06
0.035 4.46107502397042e-08 6.48559364435641e-07 -2.55893426844012e-06
0.036 5.55968560772557e-09 6.41265838652316e-07 -2.83761935409351e-06
0.037 -3.45746360708166e-08 6.31111793936157e-07 -3.1376653035365e-06
