#  Time  ForceX  ForceY   Work
0 0 0 0
0.001 -6.5791194714393e-10 -7.30189242403867e-11 -1.24411545520919e-12
0.002 -6.07093841864526e-09 -1.34757982550582e-10 -2.22441327148263e-11
0.003 -1.52005137366018e-08 -1.61644919671744e-10 -1.12448178457618e-10
0.004 -2.02270626914469e-08 -2.15397477631996e-10 -3.47239957288437e-10
0.005 -1.79387678045373e-08 -3.07572634028475e-10 -8.32296272428989e-10
0.006 -9.58296464403929e-09 -4.25277590920814e-10 -1.70382337067043e-09
0.007 3.01639069277826e-09 -5.6736837450444e-10 -3.12489587780588e-09
0.008 1.81034174318029e-08 -7.34779348476877e-10 -5.28618953014729e-09
0.009 3.50308839713875e-08 -9.22998566466049e-10 -8.40732405757081e-09
0.01 5.4893991574545e-08 -1.1247109910073e-09 -1.27358031827188e-08
0.011 7.93796992581974e-08 -1.33303856841849e-09 -1.85459550170066e-08
0.012 1.09454269647813e-07 -1.542634464613e-09 -2.61391699478262e-08
0.013 1.45072037938121e-07 -1.74986425349744e-09 -3.58444817055476e-08
0.014 1.85497538218726e-07 -1.95292315652296e-09 -4.80188238427635e-08
0.015 2.29709197441252e-07 -2.15168682871081e-09 -6.30470121417001e-08
0.016 2.76762520456941e-07 -2.34707897561748e-09 -8.13415004231562e-08
0.017 3.26064011346716e-07 -2.54037857416733e-09 -1.03341891413762e-07
0.018 3.7747900538676e-07 -2.73247735549376e-09 -1.29514323009121e-07
0.019 4.31262257905018e-07 -2.9233149234642e-09 -1.60350926247234e-07
0.02 4.87862921616511e-07 -3.11160874844063e-09 -1.96369475609121e-07
0.021 5.47670468087347e-07 -3.29487903627523e-09 -2.38113242275698e-07
0.022 6.10773346565452e-07 -3.46989637023398e-09 -2.86150994523366e-07
0.023 6.76806499733118e-07 -3.63319685448005e-09 -3.41077066267053e-07
0.024 7.44944843589224e-07 -3.78187436922417e-09 -4.03511415948655e-07
0.025 8.1405059493278e-07 -3.91414545219959e-09 -4.74099610188352e-07
0.026 8.82925742295981e-07 -4.02967970103418e-09 -5.53512681442255e-07
0.027 9.50583921799364e-07 -4.12963174767356e-09 -6.42446825477739e-07
0.028 1.01645420258478e-06 -4.21634283043204e-09 -7.41622927033264e-07
0.029 1.08045885571784e-06 -4.29286117764605e-09 -8.51785932818455e-07
0.03 1.14295346875792e-06 -4.36247304946846e-09 -9.73704124567171e-07
