% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   1.56250000E-02               17   5.7731597280508140E-15  -6.6613381477509392E-15   0.0000000000000000E+00   0.0000000000000000E+00   3.9269915027203389E+01  -6.6613381477509392E-15
                 1   1.56250000E-02   1.56250000E-02               17  -9.8054897534893826E-13  -3.1031663452383285E-03  -1.1275352263780472E-06  -1.1275352263780472E-06   3.9269915030721037E+01  -3.1031663452383285E-03
                 2   3.12500000E-02   1.56250000E-02               17  -3.7214675785435247E-13  -1.2629468494953056E-02  -1.8211132397048801E-05  -1.8211132397048801E-05   3.9269915140675757E+01  -1.2629468494953056E-02
                 3   4.68750000E-02   1.56250000E-02               17  -2.0317081350640365E-12  -2.8869770385053339E-02  -9.2921710061599078E-05  -9.2921710061599078E-05   3.9269915895012815E+01  -2.8869770385053339E-02
                 4   6.25000000E-02   1.56250000E-02               17  -9.5701224722688494E-13  -5.2033400175311328E-02  -2.9535560402246114E-04  -2.9535560402246114E-04   3.9269918704853652E+01  -5.2033400175311328E-02
                 5   7.81250000E-02   1.56250000E-02               17  -1.3780088181647443E-12  -8.2225370796438213E-02  -7.2338966903412114E-04  -7.2338966903412114E-04   3.9269926295422060E+01  -8.2225370796438213E-02
                 6   9.37500000E-02   1.56250000E-02               17  -7.9269923958236177E-13  -1.1940371191947063E-01  -1.5003808100232940E-03  -1.5003808100232940E-03   3.9269943124556860E+01  -1.1940371191947063E-01
                 7   1.09375000E-01   1.56250000E-02               17  -3.7347902548390266E-13  -1.6332912414191281E-01  -2.7705527602312069E-03  -2.7705527602312069E-03   3.9269975748680153E+01  -1.6332912414191281E-01
                 8   1.25000000E-01   1.56250000E-02               17  -8.8107299234252423E-13  -2.1349039971795802E-01  -4.6909511656778036E-03  -4.6909511656778036E-03   3.9270033090921110E+01  -2.1349039971795802E-01
                 9   1.40625000E-01   1.56250000E-02               17  -7.3274719625260332E-14  -2.6901446424079856E-01  -7.4187195419799512E-03  -7.4187195419799512E-03   3.9270126549144365E+01  -2.6901446424079856E-01
                10   1.56250000E-01   1.56250000E-02               17  -9.3258734068513149E-13  -3.2841257659863432E-01  -1.1087231837836845E-02  -1.1087231837836845E-02   3.9270269834928655E+01  -3.2841257659863432E-01
                11   1.71875000E-01   1.56250000E-02               17   2.0206059048177849E-13  -3.8961990333262264E-01  -1.5780970491828666E-02  -1.5780970491828666E-02   3.9270478387703456E+01  -3.8961990333262264E-01
                12   1.87500000E-01   1.56250000E-02               17  -1.3486989303146402E-12  -4.4776827514964168E-01  -2.1399081997202640E-02  -2.1399081997202640E-02   3.9270767887610248E+01  -4.4776827514964168E-01
                13   2.03125000E-01   1.56250000E-02               17   3.9523939676655573E-14  -4.9556349125534682E-01  -2.7555302961009054E-02  -2.7555302961009054E-02   3.9271149840748393E+01  -4.9556349125534682E-01
                14   2.18750000E-01   1.56250000E-02               17   8.2733819795066665E-13  -5.3307030985225046E-01  -3.4077424058929301E-02  -3.4077424058929301E-02   3.9271630886882164E+01  -5.3307030985225046E-01
                15   2.34375000E-01   1.56250000E-02               17  -6.8434147237894649E-13  -5.6207573726357163E-01  -4.0886237010745063E-02  -4.0886237010745063E-02   3.9272216280029035E+01  -5.6207573726357163E-01
                16   2.50000000E-01   1.56250000E-02               17  -2.6378899065093719E-13  -5.8257022851296547E-01  -4.7788964057704386E-02  -4.7788964057704386E-02   3.9272909071389392E+01  -5.8257022851296547E-01
                17   2.65625000E-01   1.56250000E-02               17   6.3282712403633923E-13  -5.9461543956988017E-01  -5.4573064859281872E-02  -5.4573064859281872E-02   3.9273709066337773E+01  -5.9461543956988017E-01
                18   2.81250000E-01   1.56250000E-02               17  -2.7133850721838826E-13  -5.9858661084609643E-01  -6.1035995895066253E-02  -6.1035995895066253E-02   3.9274612800175063E+01  -5.9858661084609643E-01
                19   2.96875000E-01   1.56250000E-02               17   4.2099657093785936E-13  -5.9529895578124803E-01  -6.7017799218282270E-02  -6.7017799218282270E-02   3.9275613919542216E+01  -5.9529895578124803E-01
                20   3.12500000E-01   1.56250000E-02               17  -7.3052675020335300E-13  -5.8615762915650071E-01  -7.2446850527460693E-02  -7.2446850527460693E-02   3.9276704202399415E+01  -5.8615762915650071E-01
                21   3.28125000E-01   1.56250000E-02               17   8.9128704416907567E-13  -5.7337832663179844E-01  -7.7407845779728424E-02  -7.7407845779728424E-02   3.9277875405517584E+01  -5.7337832663179844E-01
                22   3.43750000E-01   1.56250000E-02               17  -5.2091664315412345E-13  -5.5996725968366956E-01  -8.2193070290026149E-02  -8.2193070290026149E-02   3.9279122241806171E+01  -5.5996725968366956E-01
                23   3.59375000E-01   1.56250000E-02               17   1.8429702208777599E-13  -5.5012165760049925E-01  -8.7422869123705893E-02  -8.7422869123705893E-02   3.9280446117413732E+01  -5.5012165760049925E-01
                24   3.75000000E-01   1.56250000E-02               17   1.0214051826551440E-14  -5.4968148943250172E-01  -9.4208106831448202E-02  -9.4208106831448202E-02   3.9281862436200619E+01  -5.4968148943250172E-01
                25   3.90625000E-01   1.56250000E-02               17  -1.1826095658307167E-12  -5.5952173552891615E-01  -1.0305179135706066E-01  -1.0305179135706066E-01   3.9283401053816000E+01  -5.5952173552891615E-01
                26   4.06250000E-01   1.56250000E-02               17  -3.3351099659739702E-13  -5.7592370678791838E-01  -1.1361434392101366E-01  -1.1361434392101366E-01   3.9285091609756691E+01  -5.7592370678791838E-01
                27   4.21875000E-01   1.56250000E-02               17  -2.5313084961453569E-14  -5.9818754743234237E-01  -1.2601075438469711E-01  -1.2601075438469711E-01   3.9286961021042352E+01  -5.9818754743234237E-01
                28   4.37500000E-01   1.56250000E-02               17  -5.7287508070658077E-13  -6.2679056725803362E-01  -1.4059175626668086E-01  -1.4059175626668086E-01   3.9289040873053629E+01  -6.2679056725803362E-01
                29   4.53125000E-01   1.56250000E-02               17  -8.6330942394852173E-13  -6.6116398598978021E-01  -1.5749316876275199E-01  -1.5749316876275199E-01   3.9291366628097911E+01  -6.6116398598978021E-01
                30   4.68750000E-01   1.56250000E-02               17  -1.1945999744966684E-13  -7.0005445577367675E-01  -1.7665329837580890E-01  -1.7665329837580890E-01   3.9293974346412554E+01  -7.0005445577367675E-01
                31   4.84375000E-01   1.56250000E-02               17  -6.5680794136824261E-13  -7.4147408387936542E-01  -1.9774815466971185E-01  -1.9774815466971185E-01   3.9296897177390321E+01  -7.4147408387936542E-01
                32   5.00000000E-01   1.56250000E-02               17   9.7699626167013776E-15  -7.8263313601619799E-01  -2.2011556950455280E-01  -2.2011556950455280E-01   3.9300160678354999E+01  -7.8263313601619799E-01
                33   5.15625000E-01   1.56250000E-02               17  -1.2065903831626201E-12  -8.2004412628930856E-01  -2.4272250676706419E-01  -2.4272250676706419E-01   3.9303777071326252E+01  -8.2004412628930856E-01
                34   5.31250000E-01   1.56250000E-02               17   3.9657166439610592E-13  -8.4995634916450280E-01  -2.6424309747394104E-01  -2.6424309747394104E-01   3.9307740201113234E+01  -8.4995634916450280E-01
                35   5.46875000E-01   1.56250000E-02               17  -5.6310511808987940E-13  -8.6824021264269158E-01  -2.8299598567577056E-01  -2.8299598567577056E-01   3.9312020126062329E+01  -8.6824021264269158E-01
                36   5.62500000E-01   1.56250000E-02               17   8.3355544688856753E-13  -8.7395865033204911E-01  -2.9812957133214280E-01  -2.9812957133214280E-01   3.9316564544289029E+01  -8.7395865033204911E-01
                37   5.78125000E-01   1.56250000E-02               17  -2.5313084961453569E-14  -8.7128708934203125E-01  -3.1054708758299143E-01  -3.1054708758299143E-01   3.9321322673142809E+01  -8.7128708934203125E-01
                38   5.93750000E-01   1.56250000E-02               17  -3.5882408155885059E-13  -8.6242651477659393E-01  -3.2066616972074269E-01  -3.2066616972074269E-01   3.9326257447968985E+01  -8.6242651477659393E-01
                39   6.09375000E-01   1.56250000E-02               17   9.6811447747313650E-14  -8.4627969034367068E-01  -3.2775889034881067E-01  -3.2775889034881067E-01   3.9331327569501688E+01  -8.4627969034367068E-01
                40   6.25000000E-01   1.56250000E-02               17   2.7400304247748863E-13  -8.2324236822439145E-01  -3.3162839540289246E-01  -3.3162839540289246E-01   3.9336483010494504E+01  -8.2324236822439145E-01
                41   6.40625000E-01   1.56250000E-02               17   1.0658141036401503E-14  -7.9527625008874869E-01  -3.3275632595080173E-01  -3.3275632595080173E-01   3.9341676619850929E+01  -7.9527625008874869E-01
                42   6.56250000E-01   1.56250000E-02               17  -8.8817841970012523E-14  -7.6495237745242139E-01  -3.3201122894966661E-01  -3.3201122894966661E-01   3.9346871810143917E+01  -7.6495237745242139E-01
                43   6.71875000E-01   1.56250000E-02               17  -8.7929663550312398E-14  -7.3546268831579775E-01  -3.3070276282068090E-01  -3.3070276282068090E-01   3.9352048963484833E+01  -7.3546268831579775E-01
                44   6.87500000E-01   1.56250000E-02               17  -2.1316282072803006E-14  -7.1036725620659080E-01  -3.3051328088762610E-01  -3.3051328088762610E-01   3.9357212093346540E+01  -7.1036725620659080E-01
                45   7.03125000E-01   1.56250000E-02               17  -1.2301271112846734E-13  -6.9290296705455301E-01  -3.3319377762135027E-01  -3.3319377762135027E-01   3.9362392464924810E+01  -6.9290296705455301E-01
                46   7.18750000E-01   1.56250000E-02               17  -9.1660012913052924E-13  -6.8562130393335297E-01  -3.4035737139153999E-01  -3.4035737139153999E-01   3.9367647877809958E+01  -6.8562130393335297E-01
                47   7.34375000E-01   1.56250000E-02               17  -2.5268676040468563E-13  -6.8882544578800120E-01  -3.5262350518055285E-01  -3.5262350518055285E-01   3.9373055718475769E+01  -6.8882544578800120E-01
                48   7.50000000E-01   1.56250000E-02               17  -8.7840845708342385E-13  -6.9857960423599730E-01  -3.6839158817132711E-01  -3.6839158817132711E-01   3.9378685605879454E+01  -6.9857960423599730E-01
                49   7.65625000E-01   1.56250000E-02               17   2.4336088699783431E-13  -7.1152813400690373E-01  -3.8612922171677333E-01  -3.8612922171677333E-01   3.9384577658036640E+01  -7.1152813400690373E-01
                50   7.81250000E-01   1.56250000E-02               17  -5.0492943159952119E-13  -7.2865537895653043E-01  -4.0651645344693454E-01  -4.0651645344693454E-01   3.9390766059824038E+01  -7.2865537895653043E-01
                51   7.96875000E-01   1.56250000E-02               17  -7.0787820050099981E-13  -7.5024975597323307E-01  -4.2989092934718420E-01  -4.2989092934718420E-01   3.9397297235565539E+01  -7.5024975597323307E-01
                52   8.12500000E-01   1.56250000E-02               17  -3.3706371027619753E-13  -7.7362609351562739E-01  -4.5485474602271014E-01  -4.5485474602271014E-01   3.9404208481764776E+01  -7.7362609351562739E-01
                53   8.28125000E-01   1.56250000E-02               17  -3.4061642395499803E-13  -7.9546505740509721E-01  -4.7946338930745780E-01  -4.7946338930745780E-01   3.9411509631380127E+01  -7.9546505740509721E-01
                54   8.43750000E-01   1.56250000E-02               17  -2.6867397195928788E-13  -8.1244329349786026E-01  -5.0157240956538462E-01  -5.0157240956538462E-01   3.9419178740445695E+01  -8.1244329349786026E-01
                55   8.59375000E-01   1.56250000E-02               17  -1.6742163211347361E-13  -8.2126055048522728E-01  -5.1886041944761119E-01  -5.1886041944761119E-01   3.9427158604831966E+01  -8.2126055048522728E-01
                56   8.75000000E-01   1.56250000E-02               17  -2.5091040356528538E-13  -8.1938573983698015E-01  -5.2931998720914386E-01  -5.2931998720914386E-01   3.9435357428353811E+01  -8.1938573983698015E-01
                57   8.90625000E-01   1.56250000E-02               17   2.5890400934258651E-13  -8.0561028901927623E-01  -5.3168499715998729E-01  -5.3168499715998729E-01   3.9443657523238159E+01  -8.0561028901927623E-01
                58   9.06250000E-01   1.56250000E-02               17   4.1699976804920880E-13  -7.8057552980593847E-01  -5.2588441588984125E-01  -5.2588441588984125E-01   3.9451929619811651E+01  -7.8057552980593847E-01
                59   9.21875000E-01   1.56250000E-02               17   1.0347278589506459E-13  -7.4787440147701867E-01  -5.1392899880322496E-01  -5.1392899880322496E-01   3.9460059214894351E+01  -7.4787440147701867E-01
                60   9.37500000E-01   1.56250000E-02               17  -1.4077627952246985E-13  -7.1129561607436553E-01  -4.9817609829427134E-01  -4.9817609829427134E-01   3.9467970781332397E+01  -7.1129561607436553E-01
                61   9.53125000E-01   1.56250000E-02               17  -4.2366110619695974E-13  -6.7050878621204468E-01  -4.7825584592103665E-01  -4.7825584592103665E-01   3.9475605623904407E+01  -6.7050878621204468E-01
                62   9.68750000E-01   1.56250000E-02               17   4.2632564145606011E-13  -6.2460660565484494E-01  -4.5337255749050698E-01  -4.5337255749050698E-01   3.9482889769256545E+01  -6.2460660565484494E-01
                63   9.84375000E-01   1.56250000E-02               17  -5.0626169922907138E-14  -5.7654022964865614E-01  -4.2554492324612259E-01  -4.2554492324612259E-01   3.9489758005362269E+01  -5.7654022964865614E-01
                64   1.00000000E+00   1.56250000E-02               17  -2.5623947408348613E-13  -5.3058363202029701E-01  -3.9793772401522221E-01  -3.9793772401522221E-01   3.9496189348837568E+01  -5.3058363202029701E-01
                65   1.01562500E+00   1.56250000E-02               17  -1.5276668818842154E-13  -4.9002028896576899E-01  -3.7316651463164208E-01  -3.7316651463164208E-01   3.9502208362127625E+01  -4.9002028896576899E-01
                66   1.03125000E+00   1.56250000E-02               17  -2.9443114613059151E-13  -4.5749783970104207E-01  -3.5350043267366393E-01  -3.5350043267366393E-01   3.9507877499142346E+01  -4.5749783970104207E-01
                67   1.04687500E+00   1.56250000E-02               17  -3.1530333899354446E-13  -4.3469070852671354E-01  -3.4055019958065236E-01  -3.4055019958065236E-01   3.9513290464996864E+01  -4.3469070852671354E-01
                68   1.06250000E+00   1.56250000E-02               17  -5.3956838996782608E-13  -4.2165225762966907E-01  -3.3469162661583018E-01  -3.3469162661583018E-01   3.9518556841850476E+01  -4.2165225762966907E-01
                69   1.07812500E+00   1.56250000E-02               17  -9.6633812063373625E-13  -4.1682830139983551E-01  -3.3498760138009942E-01  -3.3498760138009942E-01   3.9523781930971403E+01  -4.1682830139983551E-01
                70   1.09375000E+00   1.56250000E-02               17  -4.5119463720766362E-13  -4.1686328103726433E-01  -3.3895266858327533E-01  -3.3895266858327533E-01   3.9529044473601239E+01  -4.1686328103726433E-01
                71   1.10937500E+00   1.56250000E-02               17  -5.5067062021407764E-14  -4.1809710515501708E-01  -3.4370832797220618E-01  -3.4370832797220618E-01   3.9534377748925898E+01  -4.1809710515501708E-01
                72   1.12500000E+00   1.56250000E-02               17  -9.8143715376863838E-14  -4.2011551798502111E-01  -3.4893383598267436E-01  -3.4893383598267436E-01   3.9539787471028013E+01  -4.2011551798502111E-01
                73   1.14062500E+00   1.56250000E-02               17  -6.2527760746888816E-13  -4.2397724460117026E-01  -3.5552676345743306E-01  -3.5552676345743306E-01   3.9545289790840300E+01  -4.2397724460117026E-01
                74   1.15625000E+00   1.56250000E-02               17  -5.9641180882863409E-13  -4.2695101740035168E-01  -3.6120736212544768E-01  -3.6120736212544768E-01   3.9550893363625931E+01  -4.2695101740035168E-01
                75   1.17187500E+00   1.56250000E-02               17   6.7501559897209518E-14  -4.2394871435829362E-01  -3.6160386219425344E-01  -3.6160386219425344E-01   3.9556549637882625E+01  -4.2394871435829362E-01
                76   1.18750000E+00   1.56250000E-02               17  -8.4821039081361960E-14  -4.1165316290356335E-01  -3.5373931155512839E-01  -3.5373931155512839E-01   3.9562150213990776E+01  -4.1165316290356335E-01
                77   1.20312500E+00   1.56250000E-02               17  -8.3044682241961709E-14  -3.8845417244278524E-01  -3.3605685484622327E-01  -3.3605685484622327E-01   3.9567552750402697E+01  -3.8845417244278524E-01
                78   1.21875000E+00   1.56250000E-02               17   1.8474111129762605E-13  -3.5370867277955753E-01  -3.0784085729467803E-01  -3.0784085729467803E-01   3.9572596867482709E+01  -3.5370867277955753E-01
                79   1.23437500E+00   1.56250000E-02               17   1.5853984791647235E-13  -3.0829628508855755E-01  -2.6973661035531560E-01  -2.6973661035531560E-01   3.9577121041829777E+01  -3.0829628508855755E-01
                80   1.25000000E+00   1.56250000E-02               17   2.6956215037898801E-13  -2.5451307365258913E-01  -2.2369313113996991E-01  -2.2369313113996991E-01   3.9580984638006392E+01  -2.5451307365258913E-01
                81   1.26562500E+00   1.56250000E-02               17   1.5765166949677223E-13  -1.9556994534292071E-01  -1.7254061890285621E-01  -1.7254061890285621E-01   3.9584084761263512E+01  -1.9556994534292071E-01
                82   1.28125000E+00   1.56250000E-02               17  -3.4816594052244909E-13  -1.3472159600319289E-01  -1.1921862181713028E-01  -1.1921862181713028E-01   3.9586365637946194E+01  -1.3472159600319289E-01
                83   1.29687500E+00   1.56250000E-02               17  -3.1263880373444408E-13  -7.2921796459919364E-02  -6.4676632437395298E-02  -6.4676632437395298E-02   3.9587804401796127E+01  -7.2921796459919364E-02
                84   1.31250000E+00   1.56250000E-02               17   4.1744385725905886E-14  -9.4013417422798007E-03  -8.3506913070943156E-03  -8.3506913070943156E-03   3.9588376885490938E+01  -9.4013417422798007E-03
                85   1.32812500E+00   1.56250000E-02               17   2.6245672302138701E-13   5.3514362632300472E-02   4.7566150505417237E-02   4.7566150505417237E-02   3.9588066857556662E+01   5.3514362632300472E-02
                86   1.34375000E+00   1.56250000E-02               17  -2.7489122089718876E-13   1.1039764287720022E-01   9.8113176161475746E-02   9.8113176161475746E-02   3.9586918845398792E+01   1.1039764287720022E-01
                87   1.35937500E+00   1.56250000E-02               17  -6.7812422344104561E-13   1.5780447595757341E-01   1.4010802808600920E-01   1.4010802808600920E-01   3.9585045910070697E+01   1.5780447595757341E-01
                88   1.37500000E+00   1.56250000E-02               17  -3.9257486150745535E-13   1.9531983227861982E-01   1.7309838651645171E-01   1.7309838651645171E-01   3.9582587469578165E+01   1.9531983227861982E-01
                89   1.39062500E+00   1.56250000E-02               17  -3.3928415632544784E-13   2.2357333469670682E-01   1.9759955686904629E-01   1.9759955686904629E-01   3.9579680955105047E+01   2.2357333469670682E-01
                90   1.40625000E+00   1.56250000E-02               17  -6.8522965079864662E-13   2.4414803767459192E-01   2.1500234412070940E-01   2.1500234412070940E-01   3.9576449666729587E+01   2.4414803767459192E-01
                91   1.42187500E+00   1.56250000E-02               17  -6.3016258877723885E-13   2.5978695718199241E-01   2.2773154540926477E-01   2.2773154540926477E-01   3.9572986515343089E+01   2.5978695718199241E-01
                92   1.43750000E+00   1.56250000E-02               17  -5.1469939421622257E-13   2.7360389019270759E-01   2.3851833274062972E-01   2.3851833274062972E-01   3.9569343133625502E+01   2.7360389019270759E-01
                93   1.45312500E+00   1.56250000E-02               17  -1.9539925233402755E-13   2.8836456287841861E-01   2.4974521251222415E-01   2.4974521251222415E-01   3.9565530276265179E+01   2.8836456287841861E-01
                94   1.46875000E+00   1.56250000E-02               17  -6.2172489379008766E-14   3.0530684551939080E-01   2.6241732718940725E-01   2.6241732718940725E-01   3.9561530731254848E+01   3.0530684551939080E-01
                95   1.48437500E+00   1.56250000E-02               17  -3.3129055054814671E-13   3.2420904466261868E-01   2.7625339143746608E-01   2.7625339143746608E-01   3.9557324045838669E+01   3.2420904466261868E-01
                96   1.50000000E+00   1.56250000E-02               17  -5.2313708920337376E-13   3.4703727016339414E-01   2.9281269670035925E-01   2.9281269670035925E-01   3.9552884259172515E+01   3.4703727016339414E-01
                97   1.51562500E+00   1.56250000E-02               17  -1.9984014443252818E-13   3.7899843972786496E-01   3.1627431650558124E-01   3.1627431650558124E-01   3.9548137341198142E+01   3.7899843972786496E-01
                98   1.53125000E+00   1.56250000E-02               17   4.1167069753100805E-13   4.2357935362356613E-01   3.4916405687148044E-01   3.4916405687148044E-01   3.9542950825944267E+01   4.2357935362356613E-01
                99   1.54687500E+00   1.56250000E-02               17   2.8865798640254070E-14   4.8010960597566443E-01   3.9041826209122554E-01   3.9041826209122554E-01   3.9537182250353339E+01   4.8010960597566443E-01
               100   1.56250000E+00   1.56250000E-02               17  -1.2168044349891716E-13   5.4649769147249438E-01   4.3779188235940447E-01   4.3779188235940447E-01   3.9530718425565183E+01   5.4649769147249438E-01
               101   1.57812500E+00   1.56250000E-02               17   2.4336088699783431E-13   6.2058743746113887E-01   4.8902474252016637E-01   4.8902474252016637E-01   3.9523481035315243E+01   6.2058743746113887E-01
