      1  0.1000000E-01  -0.9460682837E-09  0.3059889285E-03   0.1529944643E-03
      2  0.2000000E-01  -0.2375362876E-08  0.5229447904E-03   0.2614723952E-03
      3  0.3000000E-01  -0.2746178373E-08  0.6245686435E-03   0.3122843217E-03
      4  0.4000000E-01  -0.2112840166E-08  0.6286589619E-03   0.3143294810E-03
      5  0.5000000E-01  -0.3713639748E-08  0.5784211710E-03   0.2892105855E-03
      6  0.6000000E-01  -0.1119859313E-07  0.5203341767E-03   0.2601670883E-03
      7  0.7000000E-01  -0.2416238545E-07  0.4859827940E-03   0.2429913970E-03
      8  0.8000000E-01  -0.3630223021E-07  0.4839504810E-03   0.2419752405E-03
      9  0.9000000E-01  -0.3839432459E-07  0.5027003516E-03   0.2513501758E-03
     10  0.1000000E+00  -0.2423341091E-07  0.5206348637E-03   0.2603174318E-03
     11  0.1100000E+00   0.4948800872E-08  0.5174349231E-03   0.2587174615E-03
     12  0.1200000E+00   0.4118474703E-07  0.4816955187E-03   0.2408477593E-03
     13  0.1300000E+00   0.7543933250E-07  0.4127187149E-03   0.2063593575E-03
     14  0.1400000E+00   0.1042472828E-06  0.3174074310E-03   0.1587037155E-03
     15  0.1500000E+00   0.1322029755E-06  0.2051119515E-03   0.1025559758E-03
     16  0.1600000E+00   0.1677034116E-06  0.8344150953E-04   0.4172075476E-04
     17  0.1700000E+00   0.2139332904E-06 -0.4320091366E-04  -0.2160045683E-04
     18  0.1800000E+00   0.2607618392E-06 -0.1723792359E-03  -0.8618961794E-04
     19  0.1900000E+00   0.2835625680E-06 -0.3010678059E-03  -0.1505339030E-03
     20  0.2000000E+00   0.2515332396E-06 -0.4235802850E-03  -0.2117901425E-03
     21  0.2100000E+00   0.1427261383E-06 -0.5312483386E-03  -0.2656241693E-03
     22  0.2200000E+00  -0.4131537979E-07 -0.6140549342E-03  -0.3070274671E-03
     23  0.2300000E+00  -0.2692242976E-06 -0.6634273364E-03  -0.3317136682E-03
     24  0.2400000E+00  -0.4863918390E-06 -0.6748992805E-03  -0.3374496403E-03
     25  0.2500000E+00  -0.6332014478E-06 -0.6494997353E-03  -0.3247498677E-03
     26  0.2600000E+00  -0.6680277029E-06 -0.5933514806E-03  -0.2966757403E-03
     27  0.2700000E+00  -0.5854230577E-06 -0.5157263332E-03  -0.2578631666E-03
     28  0.2800000E+00  -0.4214336046E-06 -0.4263685295E-03  -0.2131842647E-03
     29  0.2900000E+00  -0.2430409983E-06 -0.3330694900E-03  -0.1665347450E-03
     30  0.3000000E+00  -0.1251034483E-06 -0.2402555452E-03  -0.1201277726E-03
     31  0.3100000E+00  -0.1231544860E-06 -0.1488889723E-03  -0.7444448617E-04
     32  0.3200000E+00  -0.2520123175E-06 -0.5749683999E-04  -0.2874842000E-04
     33  0.3300000E+00  -0.4778596498E-06  0.3618906166E-04   0.1809453083E-04
     34  0.3400000E+00  -0.7263948776E-06  0.1335916051E-03   0.6679580254E-04
     35  0.3500000E+00  -0.9039312822E-06  0.2341355764E-03   0.1170677882E-03
     36  0.3600000E+00  -0.9241981232E-06  0.3348267610E-03   0.1674133805E-03
     37  0.3700000E+00  -0.7323987752E-06  0.4305506565E-03   0.2152753283E-03
     38  0.3800000E+00  -0.3198477453E-06  0.5148945203E-03   0.2574472601E-03
     39  0.3900000E+00   0.2737640507E-06  0.5812183819E-03   0.2906091909E-03
     40  0.4000000E+00   0.9694716054E-06  0.6237157454E-03   0.3118578727E-03
     41  0.4100000E+00   0.1665728627E-05  0.6382739846E-03   0.3191369923E-03
     42  0.4200000E+00   0.2257993072E-05  0.6230266788E-03   0.3115133394E-03
     43  0.4300000E+00   0.2657162300E-05  0.5785590165E-03   0.2892795082E-03
     44  0.4400000E+00   0.2804203594E-05  0.5077759469E-03   0.2538879734E-03
     45  0.4500000E+00   0.2679540384E-05  0.4154773905E-03   0.2077386953E-03
     46  0.4600000E+00   0.2306346121E-05  0.3077147213E-03   0.1538573606E-03
     47  0.4700000E+00   0.1747044372E-05  0.1910311155E-03   0.9551555774E-04
     48  0.4800000E+00   0.1092614921E-05  0.7170975538E-04   0.3585487769E-04
     49  0.4900000E+00   0.4452492954E-06 -0.4484229114E-04  -0.2242114557E-04
     50  0.5000000E+00  -0.1032690974E-06 -0.1544695359E-03  -0.7723476795E-04
     51  0.5100000E+00  -0.4930644005E-06 -0.2543476884E-03  -0.1271738442E-03
     52  0.5200000E+00  -0.7121104652E-06 -0.3427797791E-03  -0.1713898895E-03
     53  0.5300000E+00  -0.8012777716E-06 -0.4187885387E-03  -0.2093942693E-03
     54  0.5400000E+00  -0.8455592717E-06 -0.4816324457E-03  -0.2408162229E-03
     55  0.5500000E+00  -0.9522690048E-06 -0.5303868288E-03  -0.2651934144E-03
     56  0.5600000E+00  -0.1221016100E-05 -0.5637076607E-03  -0.2818538303E-03
     57  0.5700000E+00  -0.1713140470E-05 -0.5798417389E-03  -0.2899208695E-03
     58  0.5800000E+00  -0.2428982870E-05 -0.5768788182E-03  -0.2884394091E-03
     59  0.5900000E+00  -0.3299545089E-05 -0.5531780000E-03  -0.2765890000E-03
     60  0.6000000E+00  -0.4195333047E-05 -0.5078584602E-03  -0.2539292301E-03
     61  0.6100000E+00  -0.4950644320E-05 -0.4412323633E-03  -0.2206161817E-03
     62  0.6200000E+00  -0.5397610869E-05 -0.3550757382E-03  -0.1775378691E-03
     63  0.6300000E+00  -0.5401996271E-05 -0.2526737421E-03  -0.1263368711E-03
     64  0.6400000E+00  -0.4892500663E-05 -0.1386282112E-03  -0.6931410561E-04
