      1  0.1000000E-01  -0.2965273481E-09  0.4567476883E-03   0.2283738442E-03
      2  0.2000000E-01  -0.8959893953E-09  0.4968862368E-03   0.2484431184E-03
      3  0.3000000E-01  -0.2891561944E-08  0.4980594108E-03   0.2490297054E-03
      4  0.4000000E-01  -0.5310230439E-08  0.5202583579E-03   0.2601291789E-03
      5  0.5000000E-01  -0.8256187801E-08  0.5373894940E-03   0.2686947470E-03
      6  0.6000000E-01  -0.1204557338E-07  0.5486350640E-03   0.2743175320E-03
      7  0.7000000E-01  -0.1578782740E-07  0.5563380510E-03   0.2781690255E-03
      8  0.8000000E-01  -0.1870905598E-07  0.5589983638E-03   0.2794991819E-03
      9  0.9000000E-01  -0.1988745660E-07  0.5549248564E-03   0.2774624282E-03
     10  0.1000000E+00  -0.1764767331E-07  0.5424808848E-03   0.2712404424E-03
     11  0.1100000E+00  -0.9529088086E-08  0.5194500262E-03   0.2597250131E-03
     12  0.1200000E+00   0.7755399194E-08  0.4829446149E-03   0.2414723075E-03
     13  0.1300000E+00   0.3805104765E-07  0.4294556665E-03   0.2147278333E-03
     14  0.1400000E+00   0.8446489343E-07  0.3551024765E-03   0.1775512383E-03
     15  0.1500000E+00   0.1466190543E-06  0.2563691813E-03   0.1281845907E-03
     16  0.1600000E+00   0.2166925362E-06  0.1314734094E-03   0.6573670469E-04
     17  0.1700000E+00   0.2759177214E-06 -0.1775656058E-04  -0.8878280289E-05
     18  0.1800000E+00   0.2949291285E-06 -0.1840367855E-03  -0.9201839274E-04
     19  0.1900000E+00   0.2417385237E-06 -0.3537801478E-03  -0.1768900739E-03
     20  0.2000000E+00   0.9825029521E-07 -0.5083076649E-03  -0.2541538324E-03
     21  0.2100000E+00  -0.1201908790E-06 -0.6276384504E-03  -0.3138192252E-03
     22  0.2200000E+00  -0.3544391596E-06 -0.6961884583E-03  -0.3480942291E-03
     23  0.2300000E+00  -0.5137825992E-06 -0.7083598893E-03  -0.3541799446E-03
     24  0.2400000E+00  -0.5145346368E-06 -0.6713367744E-03  -0.3356683872E-03
     25  0.2500000E+00  -0.3307194745E-06 -0.6031319266E-03  -0.3015659633E-03
     26  0.2600000E+00  -0.2722910646E-07 -0.5260227191E-03  -0.2630113596E-03
     27  0.2700000E+00   0.2526133749E-06 -0.4579700096E-03  -0.2289850048E-03
     28  0.2800000E+00   0.3495099651E-06 -0.4059535632E-03  -0.2029767816E-03
     29  0.2900000E+00   0.1714819255E-06 -0.3643864282E-03  -0.1821932141E-03
     30  0.3000000E+00  -0.2507983863E-06 -0.3191805260E-03  -0.1595902630E-03
     31  0.3100000E+00  -0.7729269285E-06 -0.2551289583E-03  -0.1275644792E-03
     32  0.3200000E+00  -0.1206549117E-05 -0.1627990863E-03  -0.8139954317E-04
     33  0.3300000E+00  -0.1406968587E-05 -0.4189264150E-04  -0.2094632075E-04
     34  0.3400000E+00  -0.1325623695E-05  0.9964823134E-04   0.4982411567E-04
     35  0.3500000E+00  -0.1002006007E-05  0.2492254063E-03   0.1246127032E-03
     36  0.3600000E+00  -0.5132372474E-06  0.3934082828E-03   0.1967041414E-03
     37  0.3700000E+00   0.7412133602E-07  0.5202943714E-03   0.2601471857E-03
     38  0.3800000E+00   0.7148759581E-06  0.6202311060E-03   0.3101155530E-03
     39  0.3900000E+00   0.1358467247E-05  0.6858454133E-03   0.3429227067E-03
     40  0.4000000E+00   0.1916347151E-05  0.7124054166E-03   0.3562027083E-03
     41  0.4100000E+00   0.2260239712E-05  0.6987836122E-03   0.3493918061E-03
     42  0.4200000E+00   0.2265102948E-05  0.6484287752E-03   0.3242143876E-03
     43  0.4300000E+00   0.1877989937E-05  0.5694225673E-03   0.2847112836E-03
     44  0.4400000E+00   0.1173832547E-05  0.4730571499E-03   0.2365285750E-03
     45  0.4500000E+00   0.3622464017E-06  0.3711262310E-03   0.1855631155E-03
     46  0.4600000E+00  -0.2682971131E-06  0.2728103305E-03   0.1364051652E-03
     47  0.4700000E+00  -0.4536702768E-06  0.1823153550E-03   0.9115767752E-04
     48  0.4800000E+00  -0.6646914717E-07  0.9819679218E-04   0.4909839609E-04
     49  0.4900000E+00   0.8090192080E-06  0.1469288824E-04   0.7346444119E-05
     50  0.5000000E+00   0.1876054292E-05 -0.7535366429E-04  -0.3767683215E-04
     51  0.5100000E+00   0.2709382720E-05 -0.1770059646E-03  -0.8850298231E-04
     52  0.5200000E+00   0.2899876172E-05 -0.2904244648E-03  -0.1452122324E-03
     53  0.5300000E+00   0.2207177617E-05 -0.4097498404E-03  -0.2048749202E-03
     54  0.5400000E+00   0.6593098677E-06 -0.5240626939E-03  -0.2620313470E-03
     55  0.5500000E+00  -0.1443044386E-05 -0.6200434276E-03  -0.3100217138E-03
     56  0.5600000E+00  -0.3620648329E-05 -0.6853673360E-03  -0.3426836680E-03
     57  0.5700000E+00  -0.5369851232E-05 -0.7116879258E-03  -0.3558439629E-03
     58  0.5800000E+00  -0.6315320280E-05 -0.6963283227E-03  -0.3481641613E-03
     59  0.5900000E+00  -0.6306092222E-05 -0.6423567609E-03  -0.3211783805E-03
     60  0.6000000E+00  -0.5430040282E-05 -0.5572986033E-03  -0.2786493016E-03
     61  0.6100000E+00  -0.3958569540E-05 -0.4510985190E-03  -0.2255492595E-03
     62  0.6200000E+00  -0.2256810003E-05 -0.3340000911E-03  -0.1670000456E-03
     63  0.6300000E+00  -0.6951230382E-06 -0.2148260699E-03  -0.1074130349E-03
     64  0.6400000E+00   0.4193653940E-06 -0.9988263083E-04  -0.4994131542E-04
