      1  0.1000000E-01   0.8167467053E-10  0.4567469328E-03   0.2283734664E-03
      2  0.2000000E-01   0.9855113931E-10  0.4968802386E-03   0.2484401193E-03
      3  0.3000000E-01   0.8337273038E-10  0.4980418190E-03   0.2490209095E-03
      4  0.4000000E-01   0.3185223786E-10  0.5202220261E-03   0.2601110130E-03
      5  0.5000000E-01  -0.6762737202E-10  0.5373262879E-03   0.2686631440E-03
      6  0.6000000E-01  -0.1910016294E-09  0.5485382554E-03   0.2742691277E-03
      7  0.7000000E-01  -0.3095688666E-09  0.5562020529E-03   0.2781010265E-03
      8  0.8000000E-01  -0.3934654581E-09  0.5588200785E-03   0.2794100392E-03
      9  0.9000000E-01  -0.4243673225E-09  0.5547051862E-03   0.2773525931E-03
     10  0.1000000E+00  -0.4008110432E-09  0.5422267507E-03   0.2711133754E-03
     11  0.1100000E+00  -0.3352526590E-09  0.5191771049E-03   0.2595885525E-03
     12  0.1200000E+00  -0.2469475457E-09  0.4826809202E-03   0.2413404601E-03
     13  0.1300000E+00  -0.1557446238E-09  0.4292458597E-03   0.2146229298E-03
     14  0.1400000E+00  -0.7953291671E-10  0.3550120000E-03   0.1775060000E-03
     15  0.1500000E+00  -0.3296163863E-10  0.2564860566E-03   0.1282430283E-03
     16  0.1600000E+00  -0.2494918855E-10  0.1319042172E-03   0.6595210858E-04
     17  0.1700000E+00  -0.5482973971E-10 -0.1690042742E-04  -0.8450213711E-05
     18  0.1800000E+00  -0.1100776258E-09 -0.1826646363E-03  -0.9133231816E-04
     19  0.1900000E+00  -0.1683437782E-09 -0.3518563352E-03  -0.1759281676E-03
     20  0.2000000E+00  -0.2038787038E-09 -0.5058846541E-03  -0.2529423271E-03
     21  0.2100000E+00  -0.1960880625E-09 -0.6248712498E-03  -0.3124356249E-03
     22  0.2200000E+00  -0.1368744042E-09 -0.6933154827E-03  -0.3466577413E-03
     23  0.2300000E+00  -0.3398119112E-10 -0.7056454618E-03  -0.3528227309E-03
     24  0.2400000E+00   0.9098804869E-10 -0.6689922012E-03  -0.3344961006E-03
     25  0.2500000E+00   0.2089871401E-09 -0.6012536986E-03  -0.3006268493E-03
     26  0.2600000E+00   0.2922907541E-09 -0.5245901063E-03  -0.2622950532E-03
     27  0.2700000E+00   0.3223057723E-09 -0.4569209890E-03  -0.2284604945E-03
     28  0.2800000E+00   0.2939963724E-09 -0.4053127150E-03  -0.2026563575E-03
     29  0.2900000E+00   0.2160169404E-09 -0.3643795006E-03  -0.1821897503E-03
     30  0.3000000E+00   0.1069672441E-09 -0.3202663358E-03  -0.1601331679E-03
     31  0.3100000E+00  -0.1022564672E-10 -0.2579194008E-03  -0.1289597004E-03
     32  0.3200000E+00  -0.1127498199E-09 -0.1679016522E-03  -0.8395082610E-04
     33  0.3300000E+00  -0.1881652854E-09 -0.4972764027E-04  -0.2486382013E-04
     34  0.3400000E+00  -0.2273731342E-09  0.8894807161E-04   0.4447403580E-04
     35  0.3500000E+00  -0.2332441636E-09  0.2358621150E-03   0.1179310575E-03
     36  0.3600000E+00  -0.2160344126E-09  0.3779072874E-03   0.1889536437E-03
     37  0.3700000E+00  -0.1903557242E-09  0.5034784252E-03   0.2517392126E-03
     38  0.3800000E+00  -0.1710500630E-09  0.6031897885E-03   0.3015948943E-03
     39  0.3900000E+00  -0.1694220007E-09  0.6698759273E-03   0.3349379637E-03
     40  0.4000000E+00  -0.1905183268E-09  0.6988906934E-03   0.3494453467E-03
     41  0.4100000E+00  -0.2316706306E-09  0.6890013141E-03   0.3445006570E-03
     42  0.4200000E+00  -0.2824959711E-09  0.6433339489E-03   0.3216669744E-03
     43  0.4300000E+00  -0.3269919405E-09  0.5694862386E-03   0.2847431193E-03
     44  0.4400000E+00  -0.3479358641E-09  0.4782441098E-03   0.2391220549E-03
     45  0.4500000E+00  -0.3323936265E-09  0.3810506989E-03   0.1905253494E-03
     46  0.4600000E+00  -0.2760247170E-09  0.2870336694E-03   0.1435168347E-03
     47  0.4700000E+00  -0.1847705079E-09  0.2006779481E-03   0.1003389741E-03
     48  0.4800000E+00  -0.7349109862E-10  0.1210400330E-03   0.6052001650E-04
     49  0.4900000E+00   0.3773616489E-10  0.4284665031E-04   0.2142332516E-04
     50  0.5000000E+00   0.1287067224E-09 -0.4086747141E-04  -0.2043373570E-04
     51  0.5100000E+00   0.1791878659E-09 -0.1354940100E-03  -0.6774700499E-04
     52  0.5200000E+00   0.2020220241E-09 -0.2421050538E-03  -0.1210525269E-03
     53  0.5300000E+00   0.1761228420E-09 -0.3561926249E-03  -0.1780963124E-03
     54  0.5400000E+00   0.1260226090E-09 -0.4683010107E-03  -0.2341505053E-03
     55  0.5500000E+00   0.6812400644E-10 -0.5662941746E-03  -0.2831470873E-03
     56  0.5600000E+00   0.1898266266E-10 -0.6384185795E-03  -0.3192092897E-03
     57  0.5700000E+00  -0.9126463474E-11 -0.6761321958E-03  -0.3380660979E-03
     58  0.5800000E+00  -0.1099781030E-10 -0.6758588691E-03  -0.3379294346E-03
     59  0.5900000E+00   0.1051893989E-10 -0.6393037497E-03  -0.3196518748E-03
     60  0.6000000E+00   0.4534068954E-10 -0.5724863018E-03  -0.2862431509E-03
     61  0.6100000E+00   0.7919188569E-10 -0.4840005400E-03  -0.2420002700E-03
     62  0.6200000E+00   0.9791272654E-10 -0.3831005824E-03  -0.1915502912E-03
     63  0.6300000E+00   0.9159738593E-10 -0.2780742271E-03  -0.1390371135E-03
     64  0.6400000E+00   0.5717464349E-10 -0.1751396301E-03  -0.8756981503E-04
