      1  0.1000000E-02  -0.7024129345E-05  0.2479119510E-03   0.1239559755E-03
      2  0.2000000E-02  -0.2808614943E-04  0.4421656409E-03   0.2210828205E-03
      3  0.3000000E-02  -0.7416707359E-04  0.5593331570E-03   0.2796665785E-03
      4  0.4000000E-02  -0.1518655360E-03  0.5982335938E-03   0.2991167969E-03
      5  0.5000000E-02  -0.2633367445E-03  0.5753500662E-03   0.2876750331E-03
      6  0.6000000E-02  -0.4072343200E-03  0.5175832248E-03   0.2587916124E-03
      7  0.7000000E-02  -0.5802367754E-03  0.4535359672E-03   0.2267679836E-03
      8  0.8000000E-02  -0.7786720614E-03  0.4058055550E-03   0.2029027775E-03
      9  0.9000000E-02  -0.9997979868E-03  0.3863058859E-03   0.1931529429E-03
     10  0.1000000E-01  -0.1242475642E-02  0.3954402395E-03   0.1977201197E-03
     11  0.1100000E-01  -0.1507189789E-02  0.4246718922E-03   0.2123359461E-03
     12  0.1200000E-01  -0.1795562793E-02  0.4611151539E-03   0.2305575770E-03
     13  0.1300000E-01  -0.2109622962E-02  0.4924196606E-03   0.2462098303E-03
     14  0.1400000E-01  -0.2451104328E-02  0.5104529765E-03   0.2552264883E-03
     15  0.1500000E-01  -0.2820986461E-02  0.5129275669E-03   0.2564637835E-03
     16  0.1600000E-01  -0.3219366044E-02  0.5028993781E-03   0.2514496891E-03
     17  0.1700000E-01  -0.3645631334E-02  0.4867224476E-03   0.2433612238E-03
     18  0.1800000E-01  -0.4098823171E-02  0.4713986106E-03   0.2356993053E-03
     19  0.1900000E-01  -0.4578032126E-02  0.4622608816E-03   0.2311304408E-03
     20  0.2000000E-01  -0.5082700525E-02  0.4616405234E-03   0.2308202617E-03
     21  0.2100000E-01  -0.5612753975E-02  0.4687351012E-03   0.2343675506E-03
     22  0.2200000E-01  -0.6168555164E-02  0.4804795816E-03   0.2402397908E-03
     23  0.2300000E-01  -0.6750729572E-02  0.4929502042E-03   0.2464751021E-03
     24  0.2400000E-01  -0.7359942794E-02  0.5027582828E-03   0.2513791414E-03
     25  0.2500000E-01  -0.7996708518E-02  0.5080017815E-03   0.2540008907E-03
     26  0.2600000E-01  -0.8661281011E-02  0.5085659332E-03   0.2542829666E-03
     27  0.2700000E-01  -0.9353649011E-02  0.5058083313E-03   0.2529041657E-03
     28  0.2800000E-01  -0.1007361303E-01  0.5018485065E-03   0.2509242533E-03
     29  0.2900000E-01  -0.1082090574E-01  0.4987612374E-03   0.2493806187E-03
     30  0.3000000E-01  -0.1159530954E-01  0.4979430502E-03   0.2489715251E-03
     31  0.3100000E-01  -0.1239673571E-01  0.4998137247E-03   0.2499068624E-03
     32  0.3200000E-01  -0.1322524787E-01  0.5038783548E-03   0.2519391774E-03
     33  0.3300000E-01  -0.1408103380E-01  0.5090588256E-03   0.2545294128E-03
     34  0.3400000E-01  -0.1496434416E-01  0.5141387405E-03   0.2570693702E-03
     35  0.3500000E-01  -0.1587542345E-01  0.5181623821E-03   0.2590811910E-03
