 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   2    0     80   4  16   2000    112 -8.51360578615711E-03 -1.27177746914673E-02  2.028308E+02
        1      1   2    0     80   4  32   2000    224 -8.59933707831878E-03 -1.21787862746772E-02  3.979568E+02
        1      1   2    0     80   4  64   2000    448 -8.61003477559485E-03 -1.22360803164523E-02  5.357443E+02
        1      1   2    0     80   4 128   2000    896 -8.61006319920294E-03 -1.22443273865720E-02  8.532789E+02
        1      1   2    1    320   1  16   1280    112 -8.39689954300862E-03 -1.24915912622528E-02  3.534869E+01
        1      1   2    1    320   1  32   1280    224 -8.54993425300222E-03 -1.23031043242187E-02  6.802604E+01
        1      1   2    1    320   1  64   1280    448 -8.55588950981737E-03 -1.23043131707115E-02  1.343112E+02
        1      1   2    1    320   1 128   1280    896 -8.55643313210012E-03 -1.23061027416986E-02  1.560911E+02
        1      1   2    1    320   2  16   2880    112 -8.51062567808381E-03 -1.27306723207298E-02  1.116477E+02
        1      1   2    1    320   2  32   2880    224 -8.60254137222397E-03 -1.22166933313006E-02  2.177584E+02
        1      1   2    1    320   2  64   2880    448 -8.61063248528169E-03 -1.22661145197724E-02  4.245756E+02
        1      1   2    1    320   2 128   2880    896 -8.61076486132547E-03 -1.22730214188011E-02  4.808531E+02
        1      1   2    1    320   3  16   5120    112 -8.50687474317110E-03 -1.27309950696919E-02  2.925762E+02
        1      1   2    1    320   3  32   5120    224 -8.59259150102861E-03 -1.21727643946742E-02  5.705269E+02
        1      1   2    1    320   3  64   5120    448 -8.60456187790176E-03 -1.22277589416886E-02  9.789387E+02
        1      1   2    1    320   3 128   5120    896 -8.60441646055076E-03 -1.22350598043734E-02  1.254681E+03
        1      1   2    1    320   4  16   8000    112 -8.50498990991233E-03 -1.27671173402058E-02  7.664393E+02
        1      1   2    1    320   4  32   8000    224 -8.59115898704854E-03 -1.21773382221301E-02  1.513889E+03
        1      1   2    1    320   4  64   8000    448 -8.60395183474888E-03 -1.22309206143403E-02  2.272334E+03
        1      1   2    1    320   4 128   8000    896 -8.60375517668951E-03 -1.22377833848467E-02  3.247786E+03
        1      1   2    2   1280   1  16   5120    112 -8.49419719044794E-03 -1.27174742538061E-02  1.408388E+02
        1      1   2    2   1280   1  32   5120    224 -8.59422094431226E-03 -1.22588192523022E-02  2.529062E+02
        1      1   2    2   1280   1  64   5120    448 -8.60130778967110E-03 -1.22929915588953E-02  3.600620E+02
        1      1   2    2   1280   1 128   5120    896 -8.60152583875463E-03 -1.22973726413812E-02  5.894673E+02
        1      1   2    2   1280   2  16  11520    112 -8.50681814726581E-03 -1.27409020429546E-02  4.782933E+02
        1      1   2    2   1280   2  32  11520    224 -8.59263479194407E-03 -1.21763505158731E-02  7.988592E+02
        1      1   2    2   1280   2  64  11520    448 -8.60483940904294E-03 -1.22308418138309E-02  1.461023E+03
        1      1   2    2   1280   2 128  11520    896 -8.60463804509658E-03 -1.22378958797430E-02  1.940634E+03
        1      1   2    2   1280   3  16  20480    112 -8.50499275731176E-03 -1.27954489493460E-02  1.355285E+03
        1      1   2    2   1280   3  32  20480    224 -8.59106564942104E-03 -1.21791056575368E-02  2.295175E+03
        1      1   2    2   1280   3  64  20480    448 -8.60394833080781E-03 -1.22310226603557E-02  4.127110E+03
        1      1   2    2   1280   3 128  20480    896 -8.60377709469607E-03 -1.22379332867599E-02  5.123006E+03
        1      1   2    2   1280   4  16  32000    112 -8.50539385786346E-03 -1.28693888093866E-02  3.887321E+03
        1      1   2    2   1280   4  32  32000    224 -8.59094839074790E-03 -1.21837424421151E-02  5.792481E+03
        1      1   2    2   1280   4  64  32000    448 -8.60389640622791E-03 -1.22313822214436E-02  1.005977E+04
        1      1   2    2   1280   4 128  32000    896 -8.60376505572667E-03 -1.22381097473449E-02  1.365897E+04
        1      1   3    0     80   1  16    320    112 -8.42758550217084E-03 -1.13386419267699E-02  5.029547E+00
        1      1   3    0     80   1  32    320    224 -8.60052309910571E-03 -1.11369167152778E-02  1.128820E+01
        1      1   3    0     80   1  64    320    448 -8.61372830037416E-03 -1.11580853005490E-02  2.083710E+01
        1      1   3    0     80   1 128    320    896 -8.61856872883178E-03 -1.11589384884313E-02  3.894324E+01
        1      1   3    0     80   2  16    720    112 -8.56648632469791E-03 -1.22585755208088E-02  1.346905E+01
        1      1   3    0     80   2  32    720    224 -8.71669304290157E-03 -1.16745766705292E-02  2.545731E+01
        1      1   3    0     80   2  64    720    448 -8.72527621817628E-03 -1.16689320402304E-02  3.736970E+01
        1      1   3    0     80   2 128    720    896 -8.72556723516124E-03 -1.16718571987243E-02  8.947685E+01
        1      1   3    0     80   3  16   1280    112 -8.60297130888956E-03 -1.23855869471616E-02  3.700226E+01
        1      1   3    0     80   3  32   1280    224 -8.71636568450829E-03 -1.16562349789357E-02  6.904609E+01
