# Time  ForceX  ForceY  Power
0 0.0603607538048643 -0.00037967705216535 0
0.005 0.0603607750894726 0.000638153286433463 -6.80149757947173e-07
0.01 0.060360964145439 0.00360444792196435 -1.00831743156326e-05
0.015 0.060361549178511 0.00841551153625497 -4.86405929805448e-05
0.02 0.0603625806214398 0.014970244878326 -0.000147072172977759
0.025 0.0603651467891193 0.0231873716983182 -0.000343854904535588
0.03 0.0603711681112928 0.0329818050457138 -0.000682813403346878
0.035 0.0603823772122078 0.0442676260220756 -0.00121102612468077
0.04 0.0604020171417596 0.0569765468926424 -0.00197711845570182
0.045 0.0604341701335185 0.0710385991106817 -0.00302954610445269
0.05 0.0604836803274931 0.0863863767633395 -0.00441524559265167
0.055 0.0605565088114128 0.102957103194321 -0.00617849917710616
0.06 0.0606596779968414 0.120690744643071 -0.00835995882163878
0.065 0.0608011842720702 0.13952955174817 -0.0109958671721611
0.07 0.0609899870101345 0.159418313607436 -0.0141174658288483
0.075 0.0612360302058426 0.180304683035762 -0.0177505768641292
0.08 0.0615502333370435 0.202139355008356 -0.0219153337816772
0.085 0.0619444358029944 0.224876131409887 -0.0266260572271707
0.09 0.0624313133290548 0.248471922811695 -0.0318912755320569
0.095 0.0630243180885279 0.272886915137611 -0.0377138858719683
0.1 0.0637376308276669 0.298084812080373 -0.0440914304221417
0.105 0.0645861242326939 0.324032972462017 -0.0510164599454008
0.11 0.0655853418886194 0.350702408654785 -0.0584769781006985
0.115 0.0667514486944549 0.378067682610662 -0.0664569548723871
0.12 0.0681011442855466 0.406106858801502 -0.0749369035990575
0.125 0.0696516009906587 0.434801501710502 -0.0838945227229812
0.13 0.0714204687780866 0.464136574862215 -0.0933053799516916
0.135 0.0734258951826843 0.494100238567114 -0.103143606145055
0.14 0.0756865104916775 0.524683681111055 -0.11338259608352
0.145 0.0782214053197434 0.555881080077522 -0.123995732122011
0.15 0.0810501396188859 0.587689576922375 -0.134957120301032
0.155 0.0841927813659364 0.620109116849629 -0.146242310327561
0.16 0.0876699433770058 0.653142171821654 -0.157828983493315
0.165 0.0915028231298725 0.686793412666239 -0.169697582500613
0.17 0.0957132429271905 0.721069351554588 -0.181831867197764
0.175 0.100323704947254 0.755977645534612 -0.194219281628319
0.18 0.105357462544887 0.791525859694508 -0.206850981531539
0.185 0.110838580058812 0.827719866006892 -0.219721474980539
0.19 0.116791972517727 0.86456211604857 -0.232827930438891
0.195 0.123243389926239 0.902050361103911 -0.246169461652088
0.2 0.130219321537041 0.940177206175848 -0.259746683921076
0.205 0.137746866484866 0.978930739118156 -0.273561771025793
0.21 0.145853615033227 1.01829578621773 -0.287618869443621
0.215 0.154567573344932 1.05825508402213 -0.301924536422896
0.22 0.163917122686865 1.09878985242884 -0.316487879706693
0.225 0.173930991976007 1.13987987333857 -0.331320329903841
0.23 0.184638201432063 1.18150346577925 -0.346435189692835
0.235 0.196067968159211 1.22363775558294 -0.361847193942907
0.24 0.208249647750039 1.26625909444799 -0.377572044091191
0.245 0.221212666590051 1.30934352368573 -0.393625888404897
0.25 0.234986442979702 1.35286715211068 -0.410024711847334
0.255 0.249600315351398 1.39680648581655 -0.426783722183661
0.26 0.26508347199344 1.44113863260605 -0.44391674325886
0.265 0.281464904343878 1.48584146618649 -0.461435698312894
0.27 0.298773409380495 1.5308937480089 -0.479350171594724
0.275 0.31703760267053 1.57627515516381 -0.497666997111956
0.28 0.336285931646061 1.62196623027475 -0.516389896271904
0.285 0.356546689808564 1.66794818829051 -0.535519219083529
0.29 0.377847952175218 1.7142024408936 -0.555051677157949
0.295 0.400217523732168 1.76071003241985 -0.574980152471205
0.3 0.423682876551247 1.80745108735874 -0.595293490575801
0.305 0.44827112472532 1.85440453192218 -0.615976404159466
0.31 0.474009004582067 1.90154800398309 -0.637009448182759
0.315 0.50092284803223 1.94885785268398 -0.658369081531734
0.32 0.529038490067968 1.99630897903623 -0.680027712011367
0.325 0.558381124624381 2.043874506128 -0.701953740482009
0.33 0.588975084661056 2.09152530565279 -0.724111562194986
0.335 0.620843626894658 2.13922959697833 -0.746461643700811
0.34 0.654008698644895 2.18695266234534 -0.768960643837507
0.345 0.688490748959997 2.23465682977944 -0.791561711599362
0.35 0.724308578654847 2.28230162919981 -0.814214888181662
0.355 0.761479198869286 2.32984396983905 -0.83686748557113
0.36 0.800017665849576 2.3772382209419 -0.859464367920627
0.365 0.839936874315236 2.42443617193738 -0.881948148045369
0.37 0.881247367668824 2.47138700096212 -0.904259519072131
0.375 0.923957065293626 2.5180371257041 -0.926337546993146
0.38 0.968070916888094 2.56433002019588 -0.94811993228068
0.385 1.01359063763418 2.6102063444892 -0.969543496272622
0.39 1.06051449960315 2.65560426520662 -0.990544717052116
0.395 1.10883723748929 2.70045997148437 -1.01106030579898
0.4 1.15855001562162 2.74470820113165 -1.03102776522748
0.405 1.20964036067351 2.78828257994836 -1.05038577311551
0.41 1.26209209535645 2.83111586182531 -1.06907457698286
0.415 1.31588522185959 2.87314002101445 -1.08703635657733
0.42 1.37099563595114 2.91428605403491 -1.1042152062463
0.425 1.42739478280516 2.9544838063028 -1.12055701211704
0.43 1.48504950206891 2.99366219636345 -1.13600966977838
0.435 1.54392190536337 3.0317494899327 -1.15052320037779
0.44 1.60396924413477 3.06867355746708 -1.16404969275089
0.445 1.66514403143612 3.10436250148998 -1.17654358890588
0.45 1.72739430975974 3.13874542105277 -1.18796214846427
0.455 1.79066384893152 3.17175297479566 -1.1982657085728
0.46 1.85489228277878 3.20331776694273 -1.20741779076004
0.465 1.92001517655495 3.23337458141544 -1.21538509148737
0.47 1.98596401557083 3.26186045577466 -1.22213741719002
0.475 2.05266631726872 3.28871490914038 -1.2276477632112
0.48 2.12004583475254 3.31388026597005 -1.23189246072205
0.485 2.18802266695931 3.33730184639836 -1.2348509794815
0.49 2.2565134280997 3.35892825016627 -1.23650570744305
0.495 2.32543170944695 3.37871192610009 -1.23684220973064
0.5 2.39468848508878 3.39660955801985 -1.23584936800428
0.505 2.46419220192119 3.41258204297655 -1.23351894037269
0.51 2.53384886440179 3.42659447386588 -1.22984519739284
0.515 2.6035623255454 3.4386163244923 -1.22482495623699
0.52 2.6732345554718 3.448621585075 -1.21845752252057
0.525 2.74276581756089 3.45658881489692 -1.21074442077308
0.53 2.8120549155149 3.4625012597698 -1.20168922003404
0.535 2.88099953999898 3.46634702891185 -1.19129750942609
0.54 2.94949673025537 3.46811932734194 -1.17957702993835
0.545 3.01744344043117 3.46781673116986 -1.16653793510184
0.55 3.08473705546347 3.4654433438595 -1.15219288692049
0.555 3.15127571638186 3.46100877212455 -1.136556827008
0.56 3.21695868509982 3.45452811085936 -1.11964680276182
0.565 3.28168683377803 3.44602199952446 -1.10148202042564
0.57 3.34536293285922 3.43551647779024 -1.08208359437335
0.575 3.40789165195194 3.4230426164512 -1.06147392004491
0.58 3.46917975619688 3.40863631123932 -1.03967646769695
0.585 3.52913654331572 3.39233823817319 -1.0167159746869
0.59 3.5876741195953 3.37419366839944 -0.992618381395646
0.595 3.64470765424763 3.35425226331921 -0.967410762311026
0.6 3.70015589781335 3.33256803324006 -0.941121640676315
0.605 3.75394176341365 3.30919930740941 -0.913781353217331
0.61 3.80599274757014 3.28420857093311 -0.88542216858359
0.615 3.85624108314322 3.2576621370852 -0.856078040031875
0.62 3.90462364363805 3.22962967401314 -0.825784096653033
0.625 3.95108177837855 3.20018371840226 -0.794576171090513
0.63 3.99556125393281 3.1693992802018 -0.762490588232756
0.635 4.03801226905167 3.13735350849782 -0.729564117341564
0.64 4.07838946705924 3.10412537204403 -0.695833946986108
0.645 4.11665208164318 3.06979541918409 -0.661337872474099
0.65 4.15276438719649 3.03444565717536 -0.626114835739964
0.655 4.18669612961658 2.99815940031009 -0.590205430517715
0.66 4.21842259448296 2.9610209336752 -0.55365187631853
0.665 4.24792439771014 2.92311505494285 -0.516497627300962
0.67 4.27518721096937 2.88452663779702 -0.478787059823482
0.675 4.30020152937403 2.84534023310671 -0.440565230781121
0.68 4.3229623714224 2.80563966366675 -0.401877621347025
0.685 4.34346895974378 2.7655076618862 -0.362769969698895
0.69 4.36172440844733 2.725025535143 -0.323288122646737
0.695 4.37773521946694 2.68427277896389 -0.283477742669267
0.7 4.3915106796505 2.64332670643166 -0.243384000222128
0.705 4.40306256570359 2.60226222214765 -0.203051694407959
0.71 4.41240533227446 2.56115178072392 -0.162525908229267
