# Time  ForceX  ForceY  Power
0 0.0600152187149323 8.52722626198954e-06 0
0.005 0.0600152130033544 -0.000360601909257241 -1.34887651682459e-08
0.01 0.0600152080573977 -0.00144504913336974 -2.15673583154989e-07
0.015 0.0600152011504351 -0.0032232052989567 -1.07967304998572e-06
0.02 0.0600151885840319 -0.00567259746764215 -3.36952289577835e-06
0.025 0.0600151658820969 -0.00877023421636203 -8.1193183956163e-06
0.03 0.0600151339030739 -0.0124937067141744 -1.66135065031731e-05
0.035 0.0600150763310638 -0.0168206134473223 -3.03669893582798e-05
0.04 0.0600149911175878 -0.0217285567109062 -5.11055653840617e-05
0.045 0.0600148626679966 -0.0271955756115254 -8.07479132992894e-05
0.05 0.060014677228508 -0.0331997206102042 -0.000121386478481061
0.055 0.0600144171510375 -0.0397193605214596 -0.000175270366911076
0.06 0.0600140605609074 -0.046733036701136 -0.00024478764624055
0.065 0.0600135830309614 -0.0542195242337851 -0.000332448707199604
0.07 0.0600129545041668 -0.0621578231947044 -0.000440869900464227
0.075 0.0600121417524608 -0.0705271562769223 -0.000572757648045791
0.08 0.0600111060733199 -0.0793069819679051 -0.000730893145816175
0.085 0.0600098034695553 -0.0884769872303064 -0.000918117401771348
0.09 0.0600081846653389 -0.0980170923030848 -0.00113731682626578
0.095 0.060006194375646 -0.107907453183751 -0.00139140928296996
0.1 0.0600037711511734 -0.118128460437244 -0.00168333056123074
0.105 0.0600008469670894 -0.128660742061852 -0.00201602135320086
0.11 0.0599973465767472 -0.139485161179145 -0.00239241461325443
0.115 0.0599931874334536 -0.150582821683157 -0.00281542348844407
0.12 0.059988279414587 -0.161935068075993 -0.00328792962221502
0.125 0.0599825239770766 -0.173523489849257 -0.00381277199375818
0.13 0.0599758140267057 -0.185329921241536 -0.00439273612574725
0.135 0.0599680334431352 -0.197336449430608 -0.00503054393623331
0.14 0.0599590566950989 -0.209525419649699 -0.0057288440240621
0.145 0.0599487483188847 -0.22187944055246 -0.00649020244933246
0.15 0.0599369623620585 -0.234381391825602 -0.00731709407605535
0.155 0.0599235419602495 -0.247014435151186 -0.00821189454698662
0.16 0.0599083188461547 -0.259762023646744 -0.00917687277139223
0.165 0.0598911126095834 -0.272607916195904 -0.010214184150994
0.17 0.0598717301685661 -0.28553620361402 -0.0113258649004011
0.175 0.0598499645069599 -0.298531363149486 -0.0125138283513953
0.18 0.0598255932624581 -0.311578359280626 -0.0137798645175451
0.185 0.0597983761456276 -0.324662803153831 -0.0151256443161458
0.19 0.0597680523273876 -0.337771140357193 -0.0165527280615593
0.195 0.0597343378053865 -0.3508908004766 -0.0180625754640461
0.2 0.0596969243999579 -0.364010227250082 -0.0196565522715045
0.205 0.0596554795033848 -0.377118763805761 -0.0213359301058814
0.21 0.0596096483550219 -0.390206456486364 -0.0231018806014329
0.215 0.0595590540667303 -0.403263875043834 -0.024955468225248
0.22 0.0595032974903118 -0.41628202839537 -0.0268976469827389
0.225 0.0594419554483132 -0.429252373926241 -0.028929262528709
0.23 0.059374581688082 -0.442166853597902 -0.031051056752199
0.235 0.0593007070247562 -0.455017924270829 -0.033263672993825
0.24 0.0592198414318177 -0.467798569871775 -0.035567660864491
0.245 0.0591314770736593 -0.480502314635523 -0.0379634818276315
0.25 0.0590350909711357 -0.493123242631267 -0.0404515159970962
0.255 0.0589301482575306 -0.505656014300195 -0.0430320694992178
0.26 0.0588161057214291 -0.518095872140632 -0.0457053816485026
0.265 0.0586924151609569 -0.530438637519811 -0.0484716318824274
0.27 0.0585585251546785 -0.542680705359823 -0.0513309468883987
0.275 0.0584138837565598 -0.554819030653832 -0.0542834072686975
0.28 0.0582579389961353 -0.56685110870921 -0.0573290537304145
0.285 0.0580901400596345 -0.578774947536072 -0.06046789246489
0.29 0.0579099381239292 -0.590589034684664 -0.0636998997502773
0.295 0.0577167869042396 -0.602292302739409 -0.067025026077191
0.3 0.0575101425826383 -0.613884102601574 -0.0704432007735301
0.305 0.0572894641273243 -0.625364177540773 -0.0739543364502471
0.31 0.0570542133262295 -0.63673263859704 -0.07755833332643
0.315 0.0568038553380839 -0.647989935140878 -0.0812550826610148
0.32 0.0565378591750652 -0.659136824968291 -0.0850444697047088
0.325 0.0562556979234008 -0.670174352881521 -0.0889263773165334
0.33 0.0559568489595084 -0.681103836261491 -0.0929006902305178
0.335 0.0556407940091717 -0.691926853456343 -0.0969672995475115
0.34 0.0553070203690917 -0.702645220238994 -0.101126105387237
0.345 0.0549550214668693 -0.713260966148802 -0.105377019112987
0.35 0.0545842975748088 -0.723776318221859 -0.109719966240445
0.355 0.0541943562560854 -0.734193692084141 -0.114154890205401
0.36 0.0537847125090232 -0.74451568237161 -0.118681755895493
0.365 0.0533548885372506 -0.754745049849477 -0.123300552487674
0.37 0.0529044132759182 -0.764884712163736 -0.1280112966489
0.375 0.0524328222845851 -0.774937741979555 -0.132814036833409
0.38 0.0519396585610448 -0.7849073632661 -0.137708857255584
0.385 0.0514244744911885 -0.79479692968143 -0.142695878600084
0.39 0.0508868341433129 -0.804609888176206 -0.147775255519858
0.395 0.0503263143285242 -0.814349750150077 -0.152947174669726
0.4 0.04974250344378 -0.824020094541215 -0.158211858151914
0.405 0.0491349987281826 -0.833624598321657 -0.163569572407377
0.41 0.0485034043381649 -0.843167062538649 -0.1690206369812
0.415 0.0478473317670796 -0.852651398615423 -0.174565425821676
0.42 0.0471664022128404 -0.862081576325952 -0.180204360225719
0.425 0.0464602489368402 -0.871461566702077 -0.18593789935482
0.43 0.0457285177789704 -0.880795316268589 -0.191766536059168
0.435 0.0449708657068009 -0.890086757922196 -0.197690800118739
0.44 0.0441869586038435 -0.899339833363005 -0.203711264334721
0.445 0.0433764697444201 -0.9085584980535 -0.20982854713298
0.45 0.0425390795360614 -0.917746702032895 -0.216043309575432
0.455 0.0416744761568781 -0.926908360754211 -0.222356249422532
0.46 0.0407823563472154 -0.936047331738763 -0.228768095782291
0.465 0.0398624257335485 -0.945167401271089 -0.235279605567493
0.47 0.038914398641126 -0.954272276543698 -0.241891560907057
0.475 0.0379379978150127 -0.963365581312759 -0.248604767180721
0.48 0.0369329545291246 -0.972450857956956 -0.255420052547544
0.485 0.0358990092286853 -0.98153157644688 -0.262338269310467
0.49 0.0348359123833819 -0.990611143084557 -0.269360295402337
0.495 0.0337434250942061 -0.999692898835796 -0.276487033176411
0.5 0.0326213192343854 -1.00878010399386 -0.283719404248272
0.505 0.0314693773593704 -1.01787591805773 -0.291058342480496
0.51 0.03028739294116 -1.02698338840591 -0.29850478889499
0.515 0.0290751710842305 -1.03610545564042 -0.306059691124698
0.52 0.0278325296531996 -1.04524497021199 -0.313724006339309
0.525 0.0265593003852331 -1.05440470734007 -0.321498704065799
0.53 0.0252553292690747 -1.06358737050367 -0.329384765842864
0.535 0.0239204762724841 -1.07279558166906 -0.337383180755346
