% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift                 PowerInt                    Power               FlowEnergy                  LiftInt
                 0   0.00000000E+00   2.50000000E-01               17   6.0032678262095247E-02  -8.1581697442814280E-07   0.0000000000000000E+00   0.0000000000000000E+00   1.8057089926908037E+06  -8.1581697442814280E-07
                 1   2.50000000E-01   2.50000000E-01               17   5.9004437526147355E-02  -4.9279428768530720E-01  -4.0424531411685657E-02  -4.0424531411685657E-02   1.8057089949661030E+06  -4.9279428768530720E-01
                 2   5.00000000E-01   2.50000000E-01               17   3.2518200729587415E-02  -1.0092757437432700E+00  -2.8385880292779675E-01  -2.8385880292779675E-01   1.8057090301903784E+06  -1.0092757437432700E+00
                 3   7.50000000E-01   2.50000000E-01               17  -6.1430630962297304E-02  -1.5141805758935640E+00  -7.9849366306886893E-01  -7.9849366306886893E-01   1.8057091569697417E+06  -1.5141805758935640E+00
                 4   1.00000000E+00   2.50000000E-01               17  -1.7096185813841033E-01  -2.1045945203024097E+00  -1.5784458902268153E+00  -1.5784458902268153E+00   1.8057094470533631E+06  -2.1045945203024097E+00
                 5   1.25000000E+00   2.50000000E-01               17  -1.9076804238967718E-01  -2.3798781427313278E+00  -2.0916897738849438E+00  -2.0916897738849438E+00   1.8057099157057765E+06  -2.3798781427313278E+00
                 6   1.50000000E+00   2.50000000E-01               17  -1.3930163940669085E-01  -1.8852969650274742E+00  -1.5907193142419331E+00  -1.5907193142419331E+00   1.8057103946084504E+06  -1.8852969650274742E+00
                 7   1.75000000E+00   2.50000000E-01               17  -4.5353970596016493E-02  -5.5418208022693338E-01  -3.1822174138031384E-01  -3.1822174138031384E-01   1.8057106331265406E+06  -5.5418208022693338E-01
                 8   2.00000000E+00  -1.00000000E+00               -1   4.5199532334165390E-02   1.3232660224081980E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.8057106277282008E+06   1.3232660224081980E+00
